DatoCzas,Close,Open,Low,High,Volume
Mar 10 2022 3:00:00 PM,137.575,137.4,137.575,137.4,7.0
Mar 10 2022 3:10:00 PM,137.35,137.35,137.35,137.35,13.0
Mar 10 2022 3:15:00 PM,137.525,137.5,137.525,137.35,73.0
Mar 10 2022 3:20:00 PM,137.525,137.525,137.525,137.525,104.0
Mar 10 2022 3:25:00 PM,137.675,137.575,137.725,137.575,981.0
Mar 10 2022 3:30:00 PM,137.1,137.7,137.7,136.925,9814.0
Mar 10 2022 3:35:00 PM,137.15,137.1,137.275,136.975,7044.0
Mar 10 2022 3:40:00 PM,137.625,137.15,137.725,137.075,7621.0
Mar 10 2022 3:45:00 PM,137.325,137.625,137.675,137.325,4398.0
Mar 10 2022 3:50:00 PM,137.4,137.325,137.475,137.325,2635.0
Mar 10 2022 3:55:00 PM,137.425,137.4,137.625,137.4,4623.0
Mar 10 2022 4:00:00 PM,137.025,137.425,137.425,136.975,6983.0
Mar 10 2022 4:05:00 PM,136.95,137.025,137.15,136.95,3574.0
Mar 10 2022 4:10:00 PM,137.15,136.95,137.175,136.85,4932.0
Mar 10 2022 4:15:00 PM,137.15,137.125,137.225,137.025,3514.0
Mar 10 2022 4:20:00 PM,137.05,137.15,137.15,137.0,2302.0
Mar 10 2022 4:25:00 PM,137.4,137.05,137.425,137.025,3347.0
Mar 10 2022 4:30:00 PM,137.4,137.4,137.425,137.225,2954.0
Mar 10 2022 4:35:00 PM,137.275,137.4,137.4,137.15,2719.0
Mar 10 2022 4:40:00 PM,137.175,137.275,137.275,137.175,2816.0
Mar 10 2022 4:45:00 PM,137.35,137.175,137.45,137.15,4524.0
Mar 10 2022 4:50:00 PM,137.25,137.35,137.4,137.25,3098.0
Mar 10 2022 4:55:00 PM,137.25,137.25,137.3,137.175,2505.0
Mar 10 2022 5:00:00 PM,137.3,137.275,137.325,137.2,2652.0
Mar 10 2022 5:05:00 PM,137.4,137.3,137.5,137.3,5617.0
Mar 10 2022 5:10:00 PM,137.575,137.4,137.65,137.4,10706.0
Mar 10 2022 5:15:00 PM,137.525,137.575,137.625,137.5,4893.0
Mar 10 2022 5:20:00 PM,137.35,137.525,137.525,137.35,4201.0
Mar 10 2022 5:25:00 PM,137.4,137.375,137.5,137.35,2500.0
Mar 10 2022 5:30:00 PM,137.4,137.425,137.425,137.35,2141.0
Mar 10 2022 5:35:00 PM,137.15,137.4,137.45,137.15,3280.0
Mar 10 2022 5:40:00 PM,137.175,137.15,137.225,137.15,2123.0
Mar 10 2022 5:45:00 PM,137.175,137.175,137.25,137.15,1334.0
Mar 10 2022 5:50:00 PM,137.1,137.175,137.175,137.1,1851.0
Mar 10 2022 5:55:00 PM,137.1,137.1,137.25,137.1,2762.0
Mar 10 2022 6:00:00 PM,136.825,137.1,137.1,136.7,5958.0
Mar 10 2022 6:05:00 PM,136.8,136.825,136.875,136.8,1525.0
Mar 10 2022 6:10:00 PM,136.9,136.8,136.925,136.7,2365.0
Mar 10 2022 6:15:00 PM,136.8,136.9,136.925,136.8,2900.0
Mar 10 2022 6:20:00 PM,136.725,136.8,136.875,136.7,4210.0
Mar 10 2022 6:25:00 PM,136.625,136.725,136.8,136.625,2652.0
Mar 10 2022 6:30:00 PM,136.3,136.625,136.625,136.025,7748.0
Mar 10 2022 6:35:00 PM,136.5,136.3,136.525,136.175,5357.0
Mar 10 2022 6:40:00 PM,136.45,136.5,136.6,136.45,3790.0
Mar 10 2022 6:45:00 PM,136.625,136.45,136.675,136.325,2734.0
Mar 10 2022 6:50:00 PM,136.675,136.625,136.75,136.625,5019.0
Mar 10 2022 6:55:00 PM,136.775,136.675,136.825,136.675,4131.0
Mar 10 2022 7:00:00 PM,136.75,136.775,136.9,136.675,3823.0
Mar 10 2022 7:05:00 PM,136.675,136.75,136.775,136.65,2847.0
Mar 10 2022 7:10:00 PM,136.725,136.675,136.775,136.65,2056.0
Mar 10 2022 7:15:00 PM,136.7,136.725,136.775,136.675,2814.0
Mar 10 2022 7:20:00 PM,136.625,136.7,136.7,136.625,1508.0
Mar 10 2022 7:25:00 PM,136.575,136.625,136.625,136.575,1994.0
Mar 10 2022 7:30:00 PM,136.525,136.575,136.575,136.5,5366.0
Mar 10 2022 7:35:00 PM,136.425,136.525,136.6,136.425,3668.0
Mar 10 2022 7:40:00 PM,136.25,136.425,136.5,136.25,5871.0
Mar 10 2022 7:45:00 PM,136.0,136.275,136.3,135.925,13495.0
Mar 10 2022 7:50:00 PM,136.225,135.975,136.275,135.85,7351.0
Mar 10 2022 7:55:00 PM,135.875,136.225,136.325,135.825,73389.0
Mar 10 2022 8:00:00 PM,135.8,135.875,136.075,135.8,7597.0
Mar 10 2022 11:35:00 PM,135.8,135.8,135.8,135.8,1.0
Mar 11 2022 3:00:00 PM,135.8,135.8,135.8,135.8,4.0
Mar 11 2022 3:10:00 PM,135.875,135.8,135.875,135.8,41.0
Mar 11 2022 3:15:00 PM,135.875,135.875,135.875,135.875,14.0
Mar 11 2022 3:20:00 PM,136.0,135.85,136.0,135.85,120.0
Mar 11 2022 3:25:00 PM,136.075,136.0,136.15,136.0,1170.0
Mar 11 2022 3:30:00 PM,136.4,136.075,136.525,136.0,8508.0
Mar 11 2022 3:35:00 PM,136.4,136.4,136.55,136.25,5289.0
Mar 11 2022 3:40:00 PM,136.575,136.4,136.825,136.4,4360.0
Mar 11 2022 3:45:00 PM,136.525,136.575,136.8,136.525,6009.0
Mar 11 2022 3:50:00 PM,136.8,136.525,136.95,136.5,7746.0
Mar 11 2022 3:55:00 PM,136.475,136.8,136.8,136.45,3702.0
Mar 11 2022 4:00:00 PM,136.325,136.475,136.475,136.15,3355.0
Mar 11 2022 4:05:00 PM,136.65,136.3,136.65,136.25,3995.0
Mar 11 2022 4:10:00 PM,136.925,136.65,136.925,136.65,5440.0
Mar 11 2022 4:15:00 PM,137.225,136.925,137.225,136.875,7186.0
Mar 11 2022 4:20:00 PM,137.25,137.2,137.275,137.025,4425.0
Mar 11 2022 4:25:00 PM,137.225,137.25,137.25,137.125,3914.0
Mar 11 2022 4:30:00 PM,137.2,137.225,137.4,137.2,5759.0
Mar 11 2022 4:35:00 PM,137.375,137.2,137.45,137.15,4776.0
Mar 11 2022 4:40:00 PM,137.125,137.375,137.425,137.125,4043.0
Mar 11 2022 4:45:00 PM,137.325,137.125,137.4,137.075,4661.0
Mar 11 2022 4:50:00 PM,137.1,137.325,137.325,137.05,2304.0
Mar 11 2022 4:55:00 PM,136.9,137.1,137.1,136.85,3464.0
Mar 11 2022 5:00:00 PM,137.0,136.9,137.125,136.9,2796.0
Mar 11 2022 5:05:00 PM,137.125,137.0,137.25,137.0,4390.0
Mar 11 2022 5:10:00 PM,137.175,137.125,137.225,137.075,2238.0
Mar 11 2022 5:15:00 PM,137.35,137.175,137.35,137.075,2760.0
Mar 11 2022 5:20:00 PM,137.275,137.35,137.35,137.275,2474.0
Mar 11 2022 5:25:00 PM,137.275,137.275,137.3,137.225,2122.0
Mar 11 2022 5:30:00 PM,137.3,137.25,137.4,137.225,3120.0
Mar 11 2022 5:35:00 PM,137.375,137.3,137.4,137.275,2648.0
Mar 11 2022 5:40:00 PM,137.3,137.35,137.35,137.25,3042.0
Mar 11 2022 5:45:00 PM,137.275,137.3,137.4,137.25,5208.0
Mar 11 2022 5:50:00 PM,137.3,137.275,137.35,137.2,2604.0
Mar 11 2022 5:55:00 PM,137.325,137.3,137.375,137.275,3759.0
Mar 11 2022 6:00:00 PM,137.35,137.325,137.375,137.275,3021.0
Mar 11 2022 6:05:00 PM,137.4,137.35,137.425,137.35,3410.0
Mar 11 2022 6:10:00 PM,137.475,137.4,137.475,137.375,3550.0
Mar 11 2022 6:15:00 PM,137.375,137.475,137.5,137.275,4236.0
Mar 11 2022 6:20:00 PM,137.575,137.375,137.6,137.35,4151.0
Mar 11 2022 6:25:00 PM,137.5,137.575,137.65,137.5,4789.0
Mar 11 2022 6:30:00 PM,137.625,137.5,137.65,137.5,4593.0
Mar 11 2022 6:35:00 PM,137.6,137.6,137.675,137.525,2512.0
Mar 11 2022 6:40:00 PM,137.45,137.6,137.675,137.45,3933.0
Mar 11 2022 6:45:00 PM,137.375,137.45,137.525,137.35,2483.0
Mar 11 2022 6:50:00 PM,137.25,137.375,137.4,137.225,1809.0
Mar 11 2022 6:55:00 PM,137.325,137.25,137.325,137.225,1759.0
Mar 11 2022 7:00:00 PM,137.35,137.325,137.425,137.3,2517.0
Mar 11 2022 7:05:00 PM,137.4,137.375,137.475,137.375,1530.0
Mar 11 2022 7:10:00 PM,137.4,137.4,137.45,137.375,1593.0
Mar 11 2022 7:15:00 PM,137.5,137.4,137.525,137.375,1946.0
Mar 11 2022 7:20:00 PM,137.4,137.525,137.6,137.4,3400.0
Mar 11 2022 7:25:00 PM,137.475,137.4,137.475,137.375,3623.0
Mar 11 2022 7:30:00 PM,137.375,137.475,137.525,137.35,7542.0
Mar 11 2022 7:35:00 PM,137.425,137.375,137.5,137.375,4910.0
Mar 11 2022 7:40:00 PM,137.475,137.425,137.55,137.425,5701.0
Mar 11 2022 7:45:00 PM,137.375,137.475,137.525,137.375,5861.0
Mar 11 2022 7:50:00 PM,137.5,137.375,137.5,137.325,4970.0
Mar 11 2022 7:55:00 PM,137.275,137.475,137.625,137.25,62152.0
Mar 11 2022 8:00:00 PM,136.8,137.25,137.4,136.8,6878.0
Mar 14 2022 2:00:00 PM,137.2,137.0,137.2,137.0,6.0
Mar 14 2022 2:05:00 PM,136.85,136.8,136.85,136.8,25.0
Mar 14 2022 2:10:00 PM,136.9,136.9,136.9,136.9,22.0
Mar 14 2022 2:15:00 PM,136.9,136.9,138.0,136.9,92.0
Mar 14 2022 2:20:00 PM,137.3,137.0,137.3,136.85,88.0
Mar 14 2022 2:25:00 PM,137.625,137.3,138.0,137.3,1133.0
Mar 14 2022 2:30:00 PM,137.525,137.625,137.95,137.375,7709.0
