DateTime,Close,Open,Low,High,Volume
01:00 28.02.22,14130.2,14188.2,14188.2,14090.8,5347
02:00 28.02.22,14023.2,14129.2,14201.2,14022.2,5568
03:00 28.02.22,13969.2,14023.2,14084.2,13926.7,4955
04:00 28.02.22,13991.2,13971.2,14024.2,13960.2,2639
05:00 28.02.22,14045.2,13991.7,14094,13991.2,2619
06:00 28.02.22,14085.2,14045.2,14129.2,14032.7,3616
07:00 28.02.22,14051.9,14085.2,14115.9,14043.9,5083
08:00 28.02.22,14221.4,14052.9,14279.2,14052.9,34260
09:00 28.02.22,14200.2,14219.9,14303.2,14180.4,51288
10:00 28.02.22,14203.2,14199.2,14261.2,14164.2,30378
11:00 28.02.22,14234.2,14203.2,14237.1,14096.1,29566
12:00 28.02.22,14204.2,14233.2,14259.2,14196.2,22259
13:00 28.02.22,14298.2,14205.2,14347.2,14205.2,28956
14:00 28.02.22,14215.1,14298.2,14307.2,14182.2,29620
15:00 28.02.22,14322.1,14214.2,14322.1,14208.1,37853
16:00 28.02.22,14419.2,14320.2,14437.2,14227.1,48693
17:00 28.02.22,14415.2,14420.2,14508.2,14385.1,43892
18:00 28.02.22,14273.2,14415.2,14442.1,14255.2,30007
19:00 28.02.22,14300.2,14273.2,14327.1,14260.1,25802
20:00 28.02.22,14243.3,14299.2,14299.2,14184.3,25215
21:00 28.02.22,14284.3,14242.3,14307.3,14182.3,23898
01:00 01.03.22,14354.2,14308.7,14367,14308.7,3274
02:00 01.03.22,14349.2,14355.2,14395.2,14340.2,3372
03:00 01.03.22,14353.2,14348.2,14367.2,14323.2,2692
04:00 01.03.22,14342.2,14354,14354,14328.2,1942
05:00 01.03.22,14383,14342.2,14387.2,14342.2,2299
06:00 01.03.22,14359.2,14383.2,14383.2,14334.2,2828
07:00 01.03.22,14427.9,14358.2,14434.9,14352.9,4256
08:00 01.03.22,14394.2,14432.9,14467.2,14368.2,28743
09:00 01.03.22,14286.2,14394.2,14442.2,14277.2,82205
10:00 01.03.22,14163.2,14286.2,14325.2,14131.1,53344
11:00 01.03.22,14159.2,14162.2,14171.2,14067.1,44572
12:00 01.03.22,14043.2,14158.2,14159.1,14036.1,36772
13:00 01.03.22,14057.1,14043.2,14091.2,14040.2,33744
14:00 01.03.22,14163.1,14056.2,14187.1,14016.2,49351
15:00 01.03.22,14135.4,14162.2,14209.1,14107.1,61870
16:00 01.03.22,13987.1,14136.4,14180.2,13982.2,89299
17:00 01.03.22,13833.2,13985.1,14019.1,13792.1,77473
18:00 01.03.22,13875.2,13833.1,13897.2,13756.1,45569
19:00 01.03.22,13793.1,13874.2,13896.2,13764.2,43323
20:00 01.03.22,13785.3,13793.2,13827.3,13752.3,52460
21:00 01.03.22,13823.3,13786.3,13857.3,13762.3,45853
01:00 02.03.22,13953.2,13872.2,13964.2,13863.2,4427
02:00 02.03.22,13909.2,13953.2,13975.2,13895.2,4855
03:00 02.03.22,13893.2,13909.2,13912.2,13854.2,4041
04:00 02.03.22,13895.2,13893.2,13923.2,13870.2,2334
05:00 02.03.22,13899.2,13895.7,13908.2,13866.2,1752
06:00 02.03.22,13894.2,13898.2,13925.5,13888.2,2291
07:00 02.03.22,13840.9,13894.2,13915.9,13822.9,4513
08:00 02.03.22,13788.2,13838.9,13872.2,13728.2,27457
09:00 02.03.22,13746.2,13791.2,13895.2,13701.2,54842
10:00 02.03.22,13924.4,13746.2,13938.2,13711.2,34128
11:00 02.03.22,13919.2,13924.2,13989.1,13888.9,22684
12:00 02.03.22,13970.2,13918.2,13983.2,13891.2,23768
13:00 02.03.22,13935.2,13970.2,14021.1,13885.9,20630
14:00 02.03.22,13892.2,13935.2,13957.2,13839.2,20517
15:00 02.03.22,13954.2,13892.2,13984.1,13883.2,34920
16:00 02.03.22,13976.1,13955.2,13995.2,13888.2,42728
17:00 02.03.22,13998.2,13974.2,14109.2,13945.2,34864
18:00 02.03.22,14019.1,14000.2,14030.1,13982.2,20217
19:00 02.03.22,14038.1,14018.2,14075.1,14018.2,24350
20:00 02.03.22,13979,14038.1,14056,13972.3,24918
21:00 02.03.22,14003.3,13978.3,14021,13949,30088
01:00 03.03.22,13963.2,13971.7,13988.2,13948.2,1196
02:00 03.03.22,13937.2,13962.2,13979.2,13935.2,2189
03:00 03.03.22,14010.2,13937.2,14018.2,13935.2,1923
04:00 03.03.22,14011.2,14013.2,14021.2,13998.2,1218
05:00 03.03.22,14000.2,14011.2,14016.2,13991.2,1100
06:00 03.03.22,14038.2,14000.2,14047.2,13992.2,1885
07:00 03.03.22,14047.9,14037.2,14061.9,14007.9,3199
