DateTime,Close,Open,Low,High,Volume
22:00 14.02.22,2.3312,2.3269,2.3333,2.3181,8939.0
23:00 14.02.22,2.3509,2.3313,2.3576,2.3313,9015.0
00:00 15.02.22,2.3454,2.3506,2.3564,2.3451,9050.0
01:00 15.02.22,2.3464,2.3457,2.3535,2.341,8840.0
02:00 15.02.22,2.4017,2.3465,2.4124,2.3398,8341.0
03:00 15.02.22,2.3973,2.4019,2.4102,2.3912,8477.0
04:00 15.02.22,2.3936,2.3974,2.4036,2.3916,8318.0
05:00 15.02.22,2.3941,2.3945,2.4057,2.3885,8196.0
06:00 15.02.22,2.3972,2.3942,2.3996,2.3878,8028.0
07:00 15.02.22,2.3915,2.3973,2.3978,2.3896,7838.0
08:00 15.02.22,2.4,2.3919,2.4078,2.3908,7706.0
09:00 15.02.22,2.4201,2.4002,2.4256,2.3966,6738.0
10:00 15.02.22,2.4242,2.4203,2.4304,2.4172,7007.0
11:00 15.02.22,2.4532,2.4248,2.4556,2.4199,7022.0
12:00 15.02.22,2.4331,2.4538,2.4556,2.4331,8438.0
13:00 15.02.22,2.4438,2.433,2.4467,2.4324,8313.0
14:00 15.02.22,2.4427,2.4445,2.4551,2.433,8372.0
15:00 15.02.22,2.4434,2.4426,2.4522,2.4325,7445.0
16:00 15.02.22,2.4411,2.4436,2.4453,2.4311,7866.0
17:00 15.02.22,2.4547,2.4415,2.4731,2.4377,8800.0
18:00 15.02.22,2.4432,2.4548,2.4571,2.4375,9058.0
19:00 15.02.22,2.4463,2.4435,2.4478,2.4348,9842.0
20:00 15.02.22,2.4403,2.4464,2.4496,2.4368,9648.0
21:00 15.02.22,2.4628,2.4402,2.4638,2.4392,9238.0
22:00 15.02.22,2.4727,2.4635,2.4799,2.4551,9266.0
23:00 15.02.22,2.4688,2.4722,2.4885,2.4663,9287.0
00:00 16.02.22,2.5081,2.4689,2.5152,2.4684,8934.0
01:00 16.02.22,2.4843,2.5082,2.5099,2.4824,9060.0
02:00 16.02.22,2.4679,2.4842,2.4843,2.4621,8810.0
03:00 16.02.22,2.4985,2.4678,2.4989,2.4676,9033.0
04:00 16.02.22,2.4768,2.4986,2.4986,2.4762,8526.0
05:00 16.02.22,2.462,2.4766,2.4771,2.4374,8285.0
06:00 16.02.22,2.4685,2.4619,2.479,2.4589,8867.0
07:00 16.02.22,2.4663,2.4684,2.4799,2.4648,8804.0
08:00 16.02.22,2.475,2.4661,2.4788,2.4589,8410.0
09:00 16.02.22,2.4757,2.4754,2.4958,2.4735,7973.0
10:00 16.02.22,2.4657,2.4765,2.4848,2.4652,7806.0
11:00 16.02.22,2.5379,2.4655,2.5561,2.4637,7700.0
12:00 16.02.22,2.5217,2.5379,2.5429,2.5166,8164.0
13:00 16.02.22,2.4936,2.5202,2.5346,2.4886,7987.0
14:00 16.02.22,2.4585,2.4941,2.4959,2.4403,6982.0
15:00 16.02.22,2.4549,2.4586,2.4739,2.4462,7015.0
16:00 16.02.22,2.4675,2.4538,2.4767,2.4522,8426.0
17:00 16.02.22,2.4585,2.4674,2.4683,2.4374,8832.0
18:00 16.02.22,2.4503,2.4587,2.4651,2.4483,9475.0
19:00 16.02.22,2.4634,2.4501,2.4679,2.4435,8986.0
20:00 16.02.22,2.5102,2.4634,2.5181,2.4552,7307.0
21:00 16.02.22,2.5065,2.5108,2.5166,2.5054,8857.0
22:00 16.02.22,2.5027,2.5062,2.514,2.4914,9499.0
23:00 16.02.22,2.5128,2.5028,2.5248,2.4985,9695.0
00:00 17.02.22,2.5246,2.5128,2.5442,2.5128,9602.0
01:00 17.02.22,2.5485,2.5247,2.5538,2.5244,9130.0
02:00 17.02.22,2.536,2.5484,2.559,2.5269,9176.0
03:00 17.02.22,2.5317,2.5359,2.5366,2.5169,9358.0
04:00 17.02.22,2.4928,2.5316,2.5391,2.491,9059.0
05:00 17.02.22,2.4738,2.4929,2.4931,2.4549,8209.0
06:00 17.02.22,2.476,2.4739,2.483,2.4594,8902.0
07:00 17.02.22,2.5018,2.4756,2.5033,2.4715,8801.0
08:00 17.02.22,2.5097,2.5019,2.5112,2.487,8876.0
09:00 17.02.22,2.4699,2.51,2.5152,2.4556,7378.0
10:00 17.02.22,2.4593,2.4698,2.476,2.4334,7462.0
11:00 17.02.22,2.4448,2.4592,2.4633,2.4368,7930.0
12:00 17.02.22,2.4603,2.4447,2.4609,2.4413,8109.0
13:00 17.02.22,2.4666,2.4603,2.4782,2.4584,8218.0
14:00 17.02.22,2.4247,2.4665,2.4735,2.4194,7008.0
15:00 17.02.22,2.41,2.4246,2.442,2.4012,6835.0
16:00 17.02.22,2.4228,2.4101,2.4257,2.4043,7237.0
17:00 17.02.22,2.42,2.4228,2.429,2.4,8613.0
18:00 17.02.22,2.3972,2.419,2.4208,2.3878,9182.0
19:00 17.02.22,2.3533,2.397,2.404,2.3177,8330.0
20:00 17.02.22,2.3412,2.353,2.353,2.3243,8761.0
21:00 17.02.22,2.3156,2.3413,2.3413,2.306,9572.0
22:00 17.02.22,2.3204,2.3151,2.3243,2.2692,10234.0
23:00 17.02.22,2.3238,2.3202,2.3253,2.3015,11233.0
00:00 18.02.22,2.3033,2.3237,2.3244,2.2943,11316.0
01:00 18.02.22,2.3223,2.3036,2.3297,2.287,10850.0
02:00 18.02.22,2.3341,2.3218,2.3401,2.3066,10193.0
03:00 18.02.22,2.3354,2.3339,2.343,2.3272,10426.0
04:00 18.02.22,2.3339,2.3355,2.3433,2.3289,10283.0
05:00 18.02.22,2.3164,2.3338,2.3408,2.3157,10135.0
06:00 18.02.22,2.3279,2.3165,2.3323,2.3165,9855.0
07:00 18.02.22,2.3406,2.3276,2.3419,2.3259,9360.0
08:00 18.02.22,2.3303,2.3409,2.3423,2.3231,22103.0
09:00 18.02.22,2.3508,2.3302,2.3551,2.33,22261.0
10:00 18.02.22,2.3532,2.3508,2.3558,2.3454,21351.0
11:00 18.02.22,2.3404,2.3532,2.3534,2.3312,20280.0
12:00 18.02.22,2.3099,2.3406,2.3424,2.3064,26304.0
13:00 18.02.22,2.3289,2.3102,2.3318,2.3026,24379.0
14:00 18.02.22,2.3376,2.3291,2.341,2.3179,23805.0
15:00 18.02.22,2.321,2.3371,2.3421,2.2756,29072.0
16:00 18.02.22,2.285,2.321,2.3328,2.2723,28731.0
17:00 18.02.22,2.2696,2.2855,2.2992,2.2511,28485.0
18:00 18.02.22,2.2755,2.2697,2.2919,2.2697,26146.0
19:00 18.02.22,2.283,2.2757,2.2866,2.2559,25623.0
20:00 18.02.22,2.2782,2.2828,2.287,2.27,24518.0
21:00 18.02.22,2.2652,2.2785,2.2826,2.2606,25303.0
04:00 19.02.22,2.2864,2.2911,2.2997,2.2859,11249.0
05:00 19.02.22,2.2912,2.2865,2.3035,2.2826,11204.0
06:00 19.02.22,2.2965,2.292,2.3014,2.2848,11919.0
07:00 19.02.22,2.3088,2.2964,2.3145,2.2939,11385.0
08:00 19.02.22,2.301,2.3088,2.3088,2.2964,20323.0
09:00 19.02.22,2.2802,2.301,2.3029,2.28,22113.0
10:00 19.02.22,2.266,2.2802,2.2868,2.2648,22899.0
11:00 19.02.22,2.2661,2.2663,2.2709,2.2518,23172.0
12:00 19.02.22,2.2279,2.2663,2.2685,2.2134,24946.0
13:00 19.02.22,2.2201,2.2283,2.2298,2.205,25195.0
14:00 19.02.22,2.2668,2.2201,2.2729,2.211,26924.0
15:00 19.02.22,2.2546,2.267,2.2672,2.2419,24003.0
