DateTime,Close,Open,Low,High,Volume
08:00 24.01.22,7019.4,7027.6,7008.4,7027.6,6916.0
08:30 24.01.22,7018.9,7021.4,7013.4,7025.4,6999.0
09:00 24.01.22,7045.9,7017.9,7005.4,7067.8,33510.0
09:30 24.01.22,6978.8,7044.9,6978.4,7050.9,34290.0
10:00 24.01.22,6970.4,6978.9,6952.9,6983.4,36612.0
10:30 24.01.22,6969.9,6970.8,6957.9,6975.3,35312.0
11:00 24.01.22,6943.3,6969.9,6941.8,6970.9,38825.0
11:30 24.01.22,6935.4,6943.4,6915.3,6948.8,39980.0
12:00 24.01.22,6937.8,6935.8,6921.9,6960.3,36956.0
12:30 24.01.22,6936.9,6938.3,6926.9,6943.8,32546.0
13:00 24.01.22,6933.3,6936.4,6925.9,6944.4,31915.0
13:30 24.01.22,6914.3,6932.8,6912.4,6939.4,33456.0
14:00 24.01.22,6892.8,6914.4,6886.3,6916.4,38253.0
14:30 24.01.22,6867.3,6892.8,6866.9,6892.9,36885.0
15:00 24.01.22,6843.3,6867.3,6841.4,6867.9,39337.0
15:30 24.01.22,6810.9,6843.9,6810.4,6856.4,88275.0
16:00 24.01.22,6799.3,6810.4,6749.4,6818.4,77451.0
16:30 24.01.22,6813.4,6799.4,6798.9,6832.8,73627.0
17:00 24.01.22,6803.8,6813.3,6791.3,6825.4,67002.0
17:30 24.01.22,6760.9,6803.4,6719.8,6810.3,51761.0
18:00 24.01.22,6725.4,6759.8,6697.9,6760.3,42858.0
18:30 24.01.22,6762.4,6725.4,6713.9,6771.3,41560.0
19:00 24.01.22,6771.4,6761.4,6757.4,6801.4,30504.0
19:30 24.01.22,6827.8,6770.4,6769.9,6828.8,25283.0
20:00 24.01.22,6820.8,6827.4,6814.7,6848.8,28614.0
20:30 24.01.22,6833.3,6820.8,6797.3,6836.8,26081.0
21:00 24.01.22,6859.7,6833.3,6830.2,6865.7,30800.0
21:30 24.01.22,6911.8,6859.3,6849.3,6911.8,24466.0
08:00 25.01.22,6863.9,6877.6,6844.9,6890.9,16620.0
08:30 25.01.22,6879.4,6863.4,6843.4,6879.4,14804.0
09:00 25.01.22,6806.9,6878.4,6794.4,6882.4,48702.0
09:30 25.01.22,6828.4,6807.9,6804.9,6870.8,44560.0
10:00 25.01.22,6865.9,6828.4,6815.9,6866.8,40992.0
10:30 25.01.22,6869.3,6865.4,6846.8,6874.9,36199.0
11:00 25.01.22,6878.9,6868.9,6856.9,6887.4,36840.0
11:30 25.01.22,6833.4,6879.8,6830.4,6882.3,38425.0
12:00 25.01.22,6850.9,6832.9,6828.4,6859.9,31329.0
12:30 25.01.22,6841.4,6851.4,6833.3,6856.8,35385.0
13:00 25.01.22,6845.9,6842.9,6823.8,6848.8,28743.0
13:30 25.01.22,6850.3,6845.8,6836.4,6860.4,28170.0
14:00 25.01.22,6834.8,6850.3,6825.9,6857.4,35584.0
14:30 25.01.22,6845.3,6834.3,6830.4,6848.8,33959.0
15:00 25.01.22,6847.9,6844.8,6841.3,6855.0,34294.0
15:30 25.01.22,6797.9,6846.9,6794.9,6860.4,64301.0
16:00 25.01.22,6850.4,6799.4,6772.8,6850.9,71864.0
16:30 25.01.22,6837.4,6850.3,6835.3,6860.8,68573.0
17:00 25.01.22,6842.4,6838.3,6826.3,6853.8,61878.0
17:30 25.01.22,6817.8,6841.9,6805.8,6844.3,34335.0
18:00 25.01.22,6832.4,6816.9,6811.3,6840.4,32674.0
18:30 25.01.22,6817.3,6832.4,6801.9,6832.4,27415.0
19:00 25.01.22,6844.3,6817.3,6803.9,6844.9,24449.0
19:30 25.01.22,6873.8,6843.9,6841.4,6874.3,26618.0
20:00 25.01.22,6882.2,6873.8,6857.8,6884.3,25667.0
20:30 25.01.22,6906.8,6881.8,6873.2,6908.8,22290.0
21:00 25.01.22,6875.2,6906.7,6871.8,6907.8,27859.0
21:30 25.01.22,6858.3,6875.3,6851.3,6887.7,24295.0
08:00 26.01.22,6877.4,6893.1,6868.4,6894.9,7283.0
08:30 26.01.22,6892.4,6877.9,6875.8,6896.4,9144.0
09:00 26.01.22,6937.4,6891.9,6889.9,6940.8,35445.0
09:30 26.01.22,6943.9,6937.4,6937.4,6965.3,37516.0
10:00 26.01.22,6966.9,6943.8,6941.4,6974.8,32107.0
10:30 26.01.22,6974.4,6967.3,6964.8,6980.9,31489.0
11:00 26.01.22,6978.4,6974.3,6960.4,6984.4,28089.0
11:30 26.01.22,6983.4,6978.3,6967.8,6985.8,28517.0
12:00 26.01.22,6974.9,6983.3,6969.9,6992.3,25034.0
12:30 26.01.22,7004.8,6975.4,6975.3,7004.8,24543.0
13:00 26.01.22,6996.3,7004.9,6983.9,7006.9,25448.0
13:30 26.01.22,7002.8,6995.9,6990.3,7003.8,23412.0
14:00 26.01.22,7015.3,7002.9,6999.3,7017.3,26101.0
14:30 26.01.22,7016.8,7015.4,7006.4,7020.4,22332.0
15:00 26.01.22,7002.3,7016.9,6996.3,7019.4,22705.0
15:30 26.01.22,7009.9,7002.3,6980.3,7010.4,50559.0
16:00 26.01.22,6967.3,7010.3,6962.4,7017.4,44969.0
16:30 26.01.22,6965.8,6966.9,6946.3,6970.9,50861.0
17:00 26.01.22,6975.8,6966.3,6957.8,6987.8,45619.0
17:30 26.01.22,6973.4,6976.9,6960.9,6986.5,30389.0
18:00 26.01.22,6998.4,6974.3,6973.4,6998.9,22846.0
18:30 26.01.22,6999.4,6998.3,6993.9,7006.9,17416.0
19:00 26.01.22,6987.4,6999.4,6977.4,7000.4,18739.0
19:30 26.01.22,6986.4,6987.4,6982.4,6994.9,16596.0
20:00 26.01.22,7000.3,6986.9,6971.8,7025.3,28290.0
20:30 26.01.22,6961.3,6999.8,6948.3,7005.3,39510.0
21:00 26.01.22,6927.8,6961.3,6889.3,6961.3,29059.0
21:30 26.01.22,6939.3,6927.3,6907.3,6942.2,21593.0
08:00 27.01.22,6848.4,6839.6,6835.9,6864.3,11457.0
08:30 27.01.22,6873.4,6848.4,6845.4,6878.9,11866.0
09:00 27.01.22,6904.9,6874.4,6866.9,6925.5,32228.0
09:30 27.01.22,6941.8,6905.3,6898.4,6944.4,34096.0
10:00 27.01.22,6953.9,6941.8,6928.4,6956.8,36196.0
10:30 27.01.22,6973.3,6953.8,6941.8,6980.3,33763.0
11:00 27.01.22,6982.4,6972.8,6960.4,6984.5,32796.0
11:30 27.01.22,6949.9,6982.8,6944.3,6986.4,31036.0
12:00 27.01.22,6970.3,6949.8,6946.9,6970.8,31208.0
12:30 27.01.22,6968.3,6969.8,6949.4,6971.4,28107.0
13:00 27.01.22,6962.3,6968.8,6952.8,6976.3,27073.0
13:30 27.01.22,6973.8,6961.9,6951.8,6980.4,27570.0
14:00 27.01.22,6985.4,6973.9,6972.3,6992.4,30371.0
14:30 27.01.22,7014.8,6985.4,6982.3,7015.3,31524.0
15:00 27.01.22,7028.9,7013.9,7009.8,7028.9,24661.0
15:30 27.01.22,7041.3,7028.8,7017.8,7051.3,60806.0
16:00 27.01.22,6999.8,7040.9,6999.3,7044.8,60054.0
16:30 27.01.22,7031.3,6999.8,6987.8,7032.4,55845.0
17:00 27.01.22,7008.4,7031.4,6996.9,7036.4,51375.0
17:30 27.01.22,7052.9,7008.4,7003.8,7055.8,40263.0
18:00 27.01.22,7018.9,7052.8,7016.8,7053.4,30870.0
18:30 27.01.22,7013.9,7018.4,6999.4,7023.9,30624.0
19:00 27.01.22,6978.4,7013.8,6977.4,7018.9,32197.0
