DateTime,Close,Open,Low,High,Volume
00:00 23.06.22,1837.42,1835.09,1834.7,1837.81,826.0
00:05 23.06.22,1837.62,1837.41,1837.34,1837.89,485.0
00:10 23.06.22,1837.69,1837.62,1837.6,1837.82,198.0
00:15 23.06.22,1837.7,1837.69,1837.51,1837.72,187.0
00:20 23.06.22,1837.7,1837.7,1837.59,1837.74,166.0
00:25 23.06.22,1837.55,1837.62,1837.5,1837.64,437.0
00:30 23.06.22,1837.82,1837.46,1837.45,1837.87,446.0
00:35 23.06.22,1837.94,1837.85,1837.79,1837.97,368.0
00:40 23.06.22,1838.01,1838.02,1837.79,1838.07,400.0
00:45 23.06.22,1837.9,1837.97,1837.79,1838.01,483.0
00:50 23.06.22,1837.78,1837.89,1837.62,1837.91,283.0
00:55 23.06.22,1837.62,1837.78,1837.57,1837.78,299.0
01:00 23.06.22,1837.64,1837.62,1837.52,1837.95,389.0
01:05 23.06.22,1837.81,1837.62,1837.57,1837.94,437.0
01:10 23.06.22,1837.71,1837.92,1837.52,1838.01,535.0
01:15 23.06.22,1837.91,1837.65,1837.57,1838.02,465.0
01:20 23.06.22,1837.81,1837.94,1837.65,1837.96,348.0
01:25 23.06.22,1837.23,1837.81,1837.23,1837.81,855.0
01:30 23.06.22,1837.27,1837.23,1837.15,1837.69,975.0
01:35 23.06.22,1837.36,1837.25,1837.12,1838.3,1533.0
01:40 23.06.22,1836.95,1837.34,1836.8,1837.48,1106.0
01:45 23.06.22,1836.5,1836.95,1836.42,1837.12,1427.0
01:50 23.06.22,1836.48,1836.51,1836.14,1836.66,931.0
01:55 23.06.22,1836.47,1836.51,1836.23,1836.6,1034.0
02:00 23.06.22,1836.1,1836.48,1836.07,1837.16,2535.0
02:05 23.06.22,1835.9,1836.07,1835.58,1836.16,1876.0
02:10 23.06.22,1836.45,1835.89,1835.68,1836.6,1584.0
02:15 23.06.22,1837.06,1836.47,1836.46,1837.55,1977.0
02:20 23.06.22,1836.58,1837.09,1836.48,1837.2,1310.0
02:25 23.06.22,1835.94,1836.59,1835.94,1836.99,1299.0
02:30 23.06.22,1835.53,1835.93,1835.44,1836.03,1643.0
02:35 23.06.22,1836.05,1835.54,1835.36,1836.15,974.0
02:40 23.06.22,1835.4,1836.05,1835.37,1836.06,1267.0
02:45 23.06.22,1835.38,1835.37,1834.89,1835.62,1464.0
02:50 23.06.22,1835.43,1835.36,1835.24,1835.93,1894.0
02:55 23.06.22,1835.65,1835.46,1835.21,1835.98,1942.0
03:00 23.06.22,1835.41,1835.38,1835.25,1836.44,2501.0
03:05 23.06.22,1835.88,1835.42,1835.25,1835.97,1769.0
03:10 23.06.22,1835.41,1835.88,1835.17,1836.25,1999.0
03:15 23.06.22,1836.23,1835.34,1835.31,1836.26,1874.0
03:20 23.06.22,1837.54,1836.23,1836.23,1838.61,2843.0
03:25 23.06.22,1836.99,1837.54,1836.87,1837.63,1754.0
03:30 23.06.22,1836.8,1837.02,1836.52,1837.24,2186.0
03:35 23.06.22,1835.96,1836.81,1835.51,1836.91,2127.0
03:40 23.06.22,1834.55,1835.94,1834.52,1835.94,2554.0
03:45 23.06.22,1834.88,1834.55,1834.47,1835.13,2679.0
03:50 23.06.22,1834.1,1834.88,1834.0,1834.97,2175.0
03:55 23.06.22,1833.04,1834.1,1832.84,1834.12,2481.0
04:00 23.06.22,1832.66,1833.06,1832.62,1833.26,2516.0
04:05 23.06.22,1832.71,1832.66,1832.46,1833.12,2346.0
04:10 23.06.22,1832.82,1832.71,1832.57,1833.7,2218.0
04:15 23.06.22,1833.12,1832.81,1832.72,1833.94,2015.0
04:20 23.06.22,1833.13,1833.09,1832.52,1833.58,2084.0
04:25 23.06.22,1833.0,1833.13,1832.63,1833.35,2258.0
04:30 23.06.22,1832.91,1833.01,1832.5,1833.3,2087.0
04:35 23.06.22,1833.14,1832.98,1832.69,1833.53,2291.0
04:40 23.06.22,1833.23,1833.15,1832.46,1833.4,2019.0
04:45 23.06.22,1833.93,1833.29,1833.19,1834.07,2575.0
04:50 23.06.22,1833.41,1833.91,1833.35,1834.24,2526.0
04:55 23.06.22,1833.37,1833.39,1833.3,1834.37,2089.0
05:00 23.06.22,1832.58,1833.35,1832.41,1833.38,1899.0
05:05 23.06.22,1832.98,1832.58,1832.32,1833.48,1856.0
05:10 23.06.22,1832.84,1833.0,1832.69,1833.32,1669.0
05:15 23.06.22,1833.54,1832.82,1832.58,1833.63,1446.0
05:20 23.06.22,1834.16,1833.49,1833.33,1834.31,1573.0
05:25 23.06.22,1834.55,1834.23,1833.91,1834.69,1753.0
05:30 23.06.22,1834.28,1834.58,1834.28,1834.73,1589.0
05:35 23.06.22,1833.71,1834.26,1833.69,1834.51,1323.0
05:40 23.06.22,1832.97,1833.71,1832.97,1833.71,1158.0
05:45 23.06.22,1832.9,1832.87,1832.87,1833.26,1333.0
05:50 23.06.22,1832.71,1832.9,1832.62,1833.17,1167.0
05:55 23.06.22,1832.7,1832.72,1832.43,1832.87,1225.0
06:00 23.06.22,1832.84,1832.69,1832.49,1833.21,1321.0
06:05 23.06.22,1832.76,1832.84,1832.52,1833.05,1150.0
06:10 23.06.22,1832.62,1832.73,1832.34,1832.76,967.0
06:15 23.06.22,1832.94,1832.63,1832.54,1833.11,1089.0
06:20 23.06.22,1833.1,1832.93,1832.93,1833.34,811.0
06:25 23.06.22,1833.1,1833.1,1832.97,1833.32,966.0
06:30 23.06.22,1832.28,1833.11,1832.19,1833.12,1002.0
06:35 23.06.22,1832.64,1832.28,1831.99,1832.93,1151.0
06:40 23.06.22,1832.82,1832.65,1832.45,1832.85,705.0
06:45 23.06.22,1832.59,1832.83,1832.37,1832.83,1010.0
06:50 23.06.22,1833.33,1832.59,1832.17,1833.37,1491.0
06:55 23.06.22,1833.16,1833.31,1833.14,1833.6,997.0
07:00 23.06.22,1832.38,1833.16,1832.08,1833.16,1669.0
07:05 23.06.22,1831.87,1832.36,1831.45,1832.41,1858.0
07:10 23.06.22,1831.43,1831.87,1831.0,1832.12,1697.0
07:15 23.06.22,1832.11,1831.42,1831.29,1832.27,1374.0
07:20 23.06.22,1831.14,1832.11,1830.94,1832.18,1375.0
07:25 23.06.22,1831.44,1831.14,1831.04,1831.73,1323.0
07:30 23.06.22,1832.54,1831.42,1831.36,1832.67,1899.0
07:35 23.06.22,1833.42,1832.55,1832.48,1834.43,2671.0
07:40 23.06.22,1833.54,1833.39,1833.16,1834.44,1927.0
07:45 23.06.22,1833.4,1833.54,1833.0,1833.91,1648.0
07:50 23.06.22,1833.54,1833.47,1832.99,1834.24,1955.0
07:55 23.06.22,1834.66,1833.56,1833.56,1834.96,1851.0
08:00 23.06.22,1835.11,1834.64,1834.51,1835.35,2450.0
08:05 23.06.22,1834.03,1835.09,1833.92,1835.12,2240.0
08:10 23.06.22,1833.49,1834.04,1833.31,1834.46,1724.0
08:15 23.06.22,1835.41,1833.47,1833.43,1835.62,2841.0
08:20 23.06.22,1834.08,1835.4,1833.86,1835.4,2117.0
08:25 23.06.22,1833.61,1834.06,1833.57,1834.66,2151.0
08:30 23.06.22,1833.77,1833.6,1833.09,1834.11,1871.0
08:35 23.06.22,1834.01,1833.78,1833.69,1834.47,2032.0
08:40 23.06.22,1833.47,1834.06,1833.4,1834.08,1865.0
08:45 23.06.22,1834.27,1833.45,1833.15,1834.4,1932.0
08:50 23.06.22,1834.15,1834.26,1833.72,1834.44,2253.0
08:55 23.06.22,1835.3,1834.16,1834.05,1835.4,2414.0
09:00 23.06.22,1834.14,1835.36,1833.46,1835.36,3667.0
09:05 23.06.22,1834.05,1834.12,1833.64,1835.21,2783.0
09:10 23.06.22,1834.18,1834.05,1833.78,1835.43,2920.0
09:15 23.06.22,1835.18,1834.18,1833.56,1835.37,5349.0
09:20 23.06.22,1833.41,1835.17,1833.22,1835.43,3882.0
09:25 23.06.22,1834.32,1833.46,1832.7,1834.59,3795.0
09:30 23.06.22,1834.77,1834.39,1833.56,1835.88,5155.0
09:35 23.06.22,1834.91,1834.79,1833.76,1835.46,3779.0
09:40 23.06.22,1837.56,1834.91,1834.7,1837.83,4650.0
09:45 23.06.22,1836.46,1837.57,1835.87,1837.75,4364.0
09:50 23.06.22,1837.93,1836.43,1836.39,1838.0,3889.0
09:55 23.06.22,1837.79,1837.93,1836.87,1837.99,3746.0
10:00 23.06.22,1836.76,1837.83,1836.51,1837.91,3815.0
10:05 23.06.22,1837.39,1836.73,1836.49,1837.57,3336.0
10:10 23.06.22,1835.77,1837.37,1835.22,1837.39,3367.0
10:15 23.06.22,1836.39,1835.78,1835.7,1836.97,2816.0
10:20 23.06.22,1835.77,1836.29,1835.18,1836.68,3048.0
10:25 23.06.22,1835.74,1835.76,1835.27,1836.2,2446.0
10:30 23.06.22,1834.33,1835.75,1834.12,1836.16,3373.0
10:35 23.06.22,1833.29,1834.33,1833.06,1834.35,3046.0
10:40 23.06.22,1832.96,1833.26,1832.9,1833.78,2727.0
10:45 23.06.22,1832.71,1832.94,1831.55,1833.04,3515.0
10:50 23.06.22,1833.19,1832.73,1832.34,1833.19,3039.0
10:55 23.06.22,1832.98,1833.2,1832.54,1833.59,3056.0
11:00 23.06.22,1833.49,1832.99,1832.56,1833.49,2778.0
11:05 23.06.22,1832.26,1833.49,1832.24,1833.55,2641.0
11:10 23.06.22,1832.72,1832.33,1832.16,1833.02,2939.0
11:15 23.06.22,1832.71,1832.71,1832.58,1833.31,2390.0
11:20 23.06.22,1832.93,1832.71,1832.61,1833.54,2534.0
11:25 23.06.22,1832.47,1832.94,1832.19,1833.06,2269.0
11:30 23.06.22,1830.98,1832.39,1830.33,1832.39,4424.0
11:35 23.06.22,1831.18,1830.98,1830.68,1832.34,3460.0
11:40 23.06.22,1830.98,1831.19,1830.58,1831.61,2749.0
11:45 23.06.22,1831.58,1830.98,1830.39,1831.91,2820.0
11:50 23.06.22,1830.75,1831.58,1830.56,1832.27,2396.0
11:55 23.06.22,1831.9,1830.74,1830.48,1832.08,2643.0
12:00 23.06.22,1827.64,1831.9,1827.6,1831.9,4483.0
12:05 23.06.22,1828.72,1827.6,1827.51,1829.1,3631.0
12:10 23.06.22,1829.44,1828.73,1828.33,1829.88,2355.0
12:15 23.06.22,1829.62,1829.43,1829.33,1829.89,2208.0
12:20 23.06.22,1829.21,1829.62,1828.91,1830.01,1979.0
12:25 23.06.22,1829.45,1829.2,1829.02,1829.96,2041.0
12:30 23.06.22,1828.67,1829.47,1828.15,1829.57,2138.0
12:35 23.06.22,1828.23,1828.68,1828.22,1829.07,2080.0
12:40 23.06.22,1829.27,1828.26,1828.1,1829.44,2537.0
12:45 23.06.22,1828.95,1829.24,1828.6,1829.48,1883.0
12:50 23.06.22,1829.45,1828.95,1828.74,1829.74,1542.0
12:55 23.06.22,1829.34,1829.43,1829.29,1830.08,1902.0
13:00 23.06.22,1828.12,1829.33,1828.07,1829.72,2457.0
13:05 23.06.22,1826.73,1828.14,1825.26,1828.14,3672.0
13:10 23.06.22,1826.94,1826.75,1826.08,1827.13,3423.0
13:15 23.06.22,1826.6,1826.96,1826.0,1827.31,3126.0
13:20 23.06.22,1826.44,1826.63,1826.21,1827.23,2830.0
13:25 23.06.22,1826.45,1826.44,1825.59,1826.47,2788.0
13:30 23.06.22,1825.86,1826.33,1825.51,1826.47,3243.0
13:35 23.06.22,1825.62,1825.86,1825.42,1826.16,2806.0
13:40 23.06.22,1826.15,1825.71,1823.52,1826.15,4739.0
13:45 23.06.22,1828.42,1826.15,1825.82,1828.79,4568.0
13:50 23.06.22,1828.02,1828.45,1827.86,1828.53,2925.0
13:55 23.06.22,1829.27,1828.03,1827.77,1829.48,3005.0
14:00 23.06.22,1828.97,1829.26,1828.35,1829.37,3430.0
14:05 23.06.22,1830.04,1828.93,1828.49,1830.5,3439.0
14:10 23.06.22,1830.09,1830.07,1829.74,1830.54,2773.0
14:15 23.06.22,1830.75,1830.07,1829.91,1830.87,3608.0
14:20 23.06.22,1831.27,1830.76,1830.32,1831.85,4746.0
14:25 23.06.22,1831.21,1831.06,1830.3,1831.48,3563.0
14:30 23.06.22,1831.2,1831.25,1830.9,1832.73,5360.0
14:35 23.06.22,1832.45,1831.33,1830.9,1833.07,4369.0
14:40 23.06.22,1831.61,1832.46,1831.13,1832.55,4221.0
14:45 23.06.22,1834.01,1831.61,1831.52,1834.09,3719.0
14:50 23.06.22,1833.2,1834.03,1832.87,1834.1,3787.0
14:55 23.06.22,1833.92,1833.2,1833.13,1834.02,4081.0
15:00 23.06.22,1835.21,1833.92,1833.82,1835.21,4797.0
15:05 23.06.22,1836.37,1835.14,1834.91,1836.67,4495.0
15:10 23.06.22,1834.79,1836.36,1834.79,1836.77,4183.0
15:15 23.06.22,1836.41,1834.79,1834.39,1836.84,4233.0
15:20 23.06.22,1838.02,1836.5,1835.91,1838.32,5006.0
15:25 23.06.22,1838.16,1838.04,1837.44,1838.77,5124.0
15:30 23.06.22,1837.7,1838.13,1836.6,1838.32,6474.0
15:35 23.06.22,1836.17,1837.64,1835.92,1838.05,5452.0
15:40 23.06.22,1835.62,1836.17,1835.22,1836.64,5062.0
15:45 23.06.22,1840.15,1835.74,1835.74,1842.83,9173.0
15:50 23.06.22,1843.15,1840.12,1839.79,1845.97,8918.0
15:55 23.06.22,1844.05,1843.12,1842.53,1844.31,6553.0
16:00 23.06.22,1842.83,1844.26,1842.07,1844.41,6463.0
16:05 23.06.22,1842.23,1842.87,1841.63,1843.07,5541.0
16:10 23.06.22,1842.51,1842.27,1841.88,1843.18,4406.0
16:15 23.06.22,1841.49,1842.57,1840.8,1842.58,4644.0
16:20 23.06.22,1841.11,1841.5,1840.96,1842.3,4517.0
16:25 23.06.22,1841.4,1841.13,1839.9,1841.84,4633.0
16:30 23.06.22,1842.49,1841.44,1841.38,1842.82,4635.0
16:35 23.06.22,1842.82,1842.47,1841.6,1842.94,4931.0
16:40 23.06.22,1842.08,1842.82,1841.69,1843.36,4623.0
16:45 23.06.22,1841.13,1842.04,1841.04,1842.17,3746.0
16:50 23.06.22,1842.28,1841.15,1840.07,1842.43,4131.0
16:55 23.06.22,1840.78,1842.24,1840.66,1842.33,4116.0
17:00 23.06.22,1838.64,1840.84,1838.05,1840.96,5938.0
17:05 23.06.22,1841.34,1838.63,1837.9,1841.34,4397.0
17:10 23.06.22,1840.93,1841.32,1840.51,1841.93,3454.0
17:15 23.06.22,1839.51,1840.91,1839.25,1841.07,3745.0
17:20 23.06.22,1838.37,1839.54,1837.92,1839.69,4256.0
17:25 23.06.22,1836.48,1838.38,1836.39,1838.74,4423.0
17:30 23.06.22,1834.81,1836.5,1833.81,1837.0,5198.0
17:35 23.06.22,1833.82,1834.82,1832.94,1834.83,4934.0
17:40 23.06.22,1831.86,1833.83,1831.61,1834.62,4562.0
17:45 23.06.22,1833.19,1831.95,1831.61,1833.55,4167.0
17:50 23.06.22,1833.96,1833.18,1832.83,1834.16,3555.0
17:55 23.06.22,1833.12,1833.96,1832.9,1834.34,3677.0
18:00 23.06.22,1832.82,1833.11,1832.31,1833.45,4064.0
18:05 23.06.22,1834.07,1832.84,1832.71,1834.5,4302.0
18:10 23.06.22,1833.0,1834.06,1832.92,1834.14,3011.0
18:15 23.06.22,1832.09,1832.97,1831.89,1832.97,3413.0
18:20 23.06.22,1832.21,1832.1,1831.89,1833.09,2906.0
18:25 23.06.22,1831.57,1832.21,1831.16,1832.61,3702.0
18:30 23.06.22,1831.53,1831.58,1831.14,1832.04,3481.0
18:35 23.06.22,1829.85,1831.61,1829.35,1831.75,4318.0
18:40 23.06.22,1830.83,1829.85,1829.09,1831.02,3679.0
18:45 23.06.22,1831.61,1830.87,1830.11,1832.01,3308.0
18:50 23.06.22,1830.79,1831.5,1830.72,1831.6,2755.0
18:55 23.06.22,1830.25,1830.78,1829.99,1831.37,2787.0
19:00 23.06.22,1827.64,1830.26,1827.25,1830.36,4583.0
19:05 23.06.22,1828.71,1827.63,1827.04,1828.89,4184.0
19:10 23.06.22,1828.85,1828.72,1828.19,1829.38,3302.0
19:15 23.06.22,1828.42,1828.9,1827.75,1828.9,2985.0
19:20 23.06.22,1828.08,1828.38,1827.74,1828.86,3409.0
19:25 23.06.22,1827.86,1828.07,1827.22,1828.39,3802.0
19:30 23.06.22,1827.93,1827.84,1826.48,1827.93,3318.0
19:35 23.06.22,1829.46,1827.97,1827.83,1829.46,2629.0
19:40 23.06.22,1828.65,1829.48,1828.08,1829.73,3005.0
19:45 23.06.22,1827.28,1828.66,1826.87,1828.67,2430.0
19:50 23.06.22,1826.53,1827.25,1826.49,1827.42,2726.0
19:55 23.06.22,1826.83,1826.59,1825.4,1827.12,2880.0
20:00 23.06.22,1826.2,1826.82,1825.88,1826.92,2677.0
20:05 23.06.22,1826.75,1826.15,1825.92,1827.28,2162.0
20:10 23.06.22,1825.89,1826.74,1825.02,1826.74,2398.0
20:15 23.06.22,1823.91,1825.85,1823.06,1826.18,4229.0
20:20 23.06.22,1823.17,1823.82,1822.62,1824.24,3753.0
20:25 23.06.22,1823.04,1823.15,1822.41,1823.43,4304.0
20:30 23.06.22,1823.7,1823.07,1822.68,1823.7,2732.0
20:35 23.06.22,1824.02,1823.69,1823.15,1824.02,1985.0
20:40 23.06.22,1824.02,1824.04,1823.71,1824.21,1859.0
20:45 23.06.22,1823.61,1824.02,1823.32,1824.05,2249.0
20:50 23.06.22,1824.72,1823.6,1823.49,1824.99,2232.0
20:55 23.06.22,1825.95,1824.7,1824.23,1826.25,3219.0
21:00 23.06.22,1826.48,1825.94,1825.48,1826.64,2409.0
21:05 23.06.22,1825.78,1826.53,1825.51,1826.78,1838.0
21:10 23.06.22,1826.43,1825.74,1825.68,1826.45,1509.0
21:15 23.06.22,1826.55,1826.44,1826.18,1826.81,1535.0
