DateTime,Close,Open,High,Low,Volume
00:00 28.02.22,1910.05,1918.46,1929.69,1904.08,52586
01:00 28.02.22,1917.44,1910.05,1919.15,1907.12,36769
02:00 28.02.22,1913.22,1917.42,1917.49,1905.93,42430
03:00 28.02.22,1909.35,1913.22,1913.43,1908.37,27393
04:00 28.02.22,1907.31,1909.33,1910.5,1904.36,27020
05:00 28.02.22,1911.07,1907.27,1911.47,1906.02,21855
06:00 28.02.22,1908.02,1911.05,1911.8,1906.01,24105
07:00 28.02.22,1908.5,1908,1909.95,1906.71,24088
08:00 28.02.22,1896.33,1908.45,1908.67,1893.21,41675
09:00 28.02.22,1900.37,1896.26,1901.93,1894.72,33079
10:00 28.02.22,1899.48,1900.37,1901.97,1898.39,21033
11:00 28.02.22,1906.38,1899.56,1908.96,1898.8,27584
12:00 28.02.22,1905.52,1906.38,1908.78,1903.93,25496
13:00 28.02.22,1913.18,1905.56,1913.95,1904.25,29187
14:00 28.02.22,1917.11,1913.32,1918.17,1908.15,56534
15:00 28.02.22,1910.39,1917.15,1917.29,1907.98,72450
16:00 28.02.22,1908.16,1910.36,1916.81,1905.33,65966
17:00 28.02.22,1892.71,1908.15,1908.3,1890.96,64200
18:00 28.02.22,1899.09,1892.75,1899.14,1890.82,48808
19:00 28.02.22,1898.69,1899.13,1900.28,1896.95,34049
20:00 28.02.22,1906.34,1898.69,1906.41,1897.93,37214
21:00 28.02.22,1909.86,1906.37,1910.02,1904.51,45499
22:00 28.02.22,1908.63,1909.96,1910.82,1906.66,22713
00:00 01.03.22,1906.22,1906.52,1908.7,1905.46,9376
01:00 01.03.22,1905.31,1906.21,1907.76,1905,14261
02:00 01.03.22,1902.9,1905.32,1905.77,1902.61,22472
03:00 01.03.22,1903.35,1902.88,1903.92,1901.32,16435
04:00 01.03.22,1905.56,1903.32,1905.58,1902.7,14139
05:00 01.03.22,1905.47,1905.56,1906.55,1904.5,10712
06:00 01.03.22,1906.98,1905.47,1907.57,1904.55,14801
07:00 01.03.22,1907.69,1906.96,1908.68,1904.55,18409
08:00 01.03.22,1907.63,1907.67,1908.4,1906.17,20833
09:00 01.03.22,1912.43,1907.57,1914.02,1907.08,31151
10:00 01.03.22,1916.18,1912.43,1918.49,1911.87,33485
11:00 01.03.22,1925.13,1916.18,1925.18,1915.34,44232
12:00 01.03.22,1920.24,1925.13,1926.28,1919.91,52168
13:00 01.03.22,1916.16,1920.22,1923.65,1910.99,52600
14:00 01.03.22,1916.71,1916.16,1921.86,1912.27,76896
15:00 01.03.22,1923.91,1916.7,1926.87,1915.99,74325
16:00 01.03.22,1926.44,1923.98,1929.6,1917.85,77228
17:00 01.03.22,1931.3,1926.44,1934.8,1923.19,66789
18:00 01.03.22,1934.68,1931.3,1935.27,1929.62,60565
19:00 01.03.22,1941.97,1934.67,1942.68,1934.28,63401
20:00 01.03.22,1940.25,1941.97,1942.04,1936.47,52000
21:00 01.03.22,1945.34,1940.23,1946.25,1939.08,50484
22:00 01.03.22,1944.96,1945.4,1950.11,1940.02,28443
00:00 02.03.22,1942.19,1943.95,1945.21,1941.78,14427
01:00 02.03.22,1935.03,1942.21,1943.71,1934.71,31037
02:00 02.03.22,1935.53,1935.03,1936.03,1930.93,40583
03:00 02.03.22,1938.05,1935.56,1940.54,1934.29,34660
04:00 02.03.22,1935.61,1938.03,1938.15,1933.41,22621
05:00 02.03.22,1936.25,1935.65,1937.75,1935.13,15607
06:00 02.03.22,1934.67,1936.23,1938.07,1933.23,25563
07:00 02.03.22,1937.79,1934.6,1940.09,1931.56,40312
08:00 02.03.22,1944.7,1937.76,1947.79,1935.46,46099
09:00 02.03.22,1939.29,1944.65,1944.65,1933.72,45079
10:00 02.03.22,1932.88,1939.25,1940.11,1931.23,34097
11:00 02.03.22,1926.46,1932.84,1935.42,1913.7,44135
12:00 02.03.22,1929.2,1926.45,1931.19,1925.25,32161
13:00 02.03.22,1926,1929.2,1929.92,1923.23,26483
14:00 02.03.22,1931.85,1926.08,1934.43,1922.61,55689
15:00 02.03.22,1929.4,1931.8,1934.79,1922.11,58003
16:00 02.03.22,1926.83,1929.41,1935.43,1922.93,60217
17:00 02.03.22,1918.83,1926.86,1927.91,1916.24,60036
18:00 02.03.22,1918.53,1918.73,1921.82,1914.79,42075
19:00 02.03.22,1920.41,1918.53,1921.67,1917.25,25095
20:00 02.03.22,1927.67,1920.41,1928.46,1920.06,28083
21:00 02.03.22,1925.08,1927.81,1933.14,1924.63,37276
22:00 02.03.22,1928.34,1925.06,1928.59,1924.7,12731
00:00 03.03.22,1928.76,1928.74,1930.29,1928.27,10337
01:00 03.03.22,1929.15,1928.75,1930.53,1928,16022
02:00 03.03.22,1930.53,1929.14,1930.63,1926.08,29538
03:00 03.03.22,1928.58,1930.52,1930.71,1927.64,21780
04:00 03.03.22,1927.41,1928.59,1930.52,1926.69,18493
05:00 03.03.22,1924.46,1927.38,1927.4,1923.8,15283
06:00 03.03.22,1925.1,1924.45,1926.39,1921.95,22689
07:00 03.03.22,1927.5,1925.11,1929.45,1924.99,25400
08:00 03.03.22,1932.02,1927.5,1932.22,1925.01,33079
09:00 03.03.22,1931.77,1932.06,1934.97,1928.33,36959
10:00 03.03.22,1929.05,1931.83,1931.87,1923.5,35876
11:00 03.03.22,1933.77,1929.05,1935.39,1929.03,30680
12:00 03.03.22,1932.34,1933.78,1938.68,1932.23,32091
13:00 03.03.22,1930.46,1932.34,1935.89,1929.57,35782
14:00 03.03.22,1926.08,1930.45,1937.13,1924.31,65338
15:00 03.03.22,1926.64,1926.03,1931.99,1924.42,66817
16:00 03.03.22,1926.16,1926.81,1930.44,1925.4,64817
17:00 03.03.22,1930.35,1926.18,1930.74,1923.22,61827
18:00 03.03.22,1931.76,1930.34,1932.41,1927.37,50687
19:00 03.03.22,1933.91,1931.77,1935.04,1931.13,42213
20:00 03.03.22,1935.07,1933.94,1935.57,1932.16,31472
21:00 03.03.22,1936.81,1935.05,1941.07,1934.75,42627
22:00 03.03.22,1935.51,1936.73,1938.27,1935.39,15472
00:00 04.03.22,1934.77,1935.46,1937.09,1934.74,7853
01:00 04.03.22,1947.22,1934.79,1950.72,1934.71,51299
02:00 04.03.22,1933.81,1947.26,1947.35,1929.54,55867
03:00 04.03.22,1939.11,1933.74,1939.98,1933.47,36130
04:00 04.03.22,1939.44,1939.12,1941.2,1937.89,26287
05:00 04.03.22,1938.93,1939.5,1940.48,1938.04,15030
06:00 04.03.22,1935.46,1938.93,1940.15,1934.56,21032
07:00 04.03.22,1935.83,1935.49,1937.78,1933.92,24637
08:00 04.03.22,1935.96,1935.81,1939.05,1935.28,27755
09:00 04.03.22,1938.57,1936.03,1940.07,1933.9,32840
10:00 04.03.22,1945.65,1938.57,1946.08,1938.13,35187
11:00 04.03.22,1947.11,1945.69,1947.82,1942.36,32010
12:00 04.03.22,1946.27,1947.1,1948.88,1944.23,29189
13:00 04.03.22,1945.6,1946.26,1949.83,1943.81,36798
14:00 04.03.22,1946.78,1945.6,1948.13,1939.82,65008
15:00 04.03.22,1951.74,1946.8,1959.23,1945.42,71307
16:00 04.03.22,1957.86,1952.21,1958.99,1942.42,65786
17:00 04.03.22,1962.6,1957.86,1965.6,1956.61,52260
18:00 04.03.22,1961.98,1962.63,1965.33,1960,38651
19:00 04.03.22,1965.04,1961.98,1966.42,1960.68,33966
20:00 04.03.22,1966.9,1965,1969.81,1964.43,35549
21:00 04.03.22,1967.27,1966.99,1970.3,1965.13,43608
00:00 07.03.22,1988.58,1974.03,1991.17,1973.83,51104
01:00 07.03.22,1988.09,1988.63,1990.31,1986.93,43234
02:00 07.03.22,1997.76,1988.3,2000.97,1987.98,69475
03:00 07.03.22,1986.96,1997.79,1998.14,1986.78,53227
04:00 07.03.22,1989.99,1986.99,1990.48,1984.8,35543
05:00 07.03.22,1989.56,1990,1991.4,1987.27,18276
06:00 07.03.22,1983.61,1989.54,1989.83,1983.05,29804
07:00 07.03.22,1983.11,1983.62,1985.06,1975.94,43451
08:00 07.03.22,1992.87,1983.12,1993.2,1979.21,46592
09:00 07.03.22,1996.5,1992.96,1998.48,1989.1,52201
10:00 07.03.22,1997.91,1996.46,2001.42,1993.46,43034
11:00 07.03.22,2002.25,1997.91,2002.45,1995.64,36252
12:00 07.03.22,1990.18,2002.31,2002.31,1985.68,48531
13:00 07.03.22,1984.02,1990.18,1990.18,1981.69,62572
14:00 07.03.22,1979.07,1984.07,1987.76,1960.98,90695
15:00 07.03.22,1984.19,1979.08,1985.51,1967.69,81810
16:00 07.03.22,1980.85,1984.35,1991.38,1976.92,78791
17:00 07.03.22,1979.38,1980.85,1983.16,1974.76,55739
18:00 07.03.22,1984.08,1979.53,1985.97,1978.42,51481
19:00 07.03.22,1992.23,1984.08,1996.18,1983.48,65568
20:00 07.03.22,1995.81,1992.23,1997.19,1990.86,46802
21:00 07.03.22,1996.62,1995.76,1998.88,1992.06,55031
22:00 07.03.22,1997.55,1996.6,1999.68,1995.72,25373
00:00 08.03.22,1998.64,1995.77,1999.27,1995.73,15344
01:00 08.03.22,1991.89,1998.65,1999.91,1990.63,24428
02:00 08.03.22,1984.85,1991.95,1992.51,1980.99,42599
03:00 08.03.22,1989.1,1984.87,1989.94,1984.52,26304
04:00 08.03.22,1985.92,1989.08,1990.08,1984.57,17899
05:00 08.03.22,1991.08,1985.93,1991.27,1985.5,13544
06:00 08.03.22,1993.97,1991.09,1994.22,1989.17,25404
07:00 08.03.22,2016.71,1993.97,2020.7,1993.22,56289
08:00 08.03.22,2016.12,2016.84,2020.9,2012.85,46133
09:00 08.03.22,2008.64,2015.91,2019.97,1999.08,62838
10:00 08.03.22,2006.21,2008.64,2011.62,2005.98,35442
11:00 08.03.22,2005.77,2006.2,2009.48,2002.69,32226
12:00 08.03.22,2009.16,2005.77,2010.83,2004.33,35760
13:00 08.03.22,2007.21,2009.07,2015.52,2006.1,50714
14:00 08.03.22,2015.04,2007.25,2020.1,2003.54,89667
15:00 08.03.22,2039.56,2015.06,2041.29,2013.8,101255
16:00 08.03.22,2047.07,2039.56,2069.75,2039.47,130489
17:00 08.03.22,2069.3,2047.16,2070.27,2044.13,98438
18:00 08.03.22,2029.78,2069.33,2069.83,2021.08,122823
19:00 08.03.22,2044.23,2029.81,2052.95,2022.11,97982
20:00 08.03.22,2039.25,2044.15,2047.37,2028.75,68616
21:00 08.03.22,2050.84,2039.3,2053.06,2032.27,53538
22:00 08.03.22,2050,2051.36,2053.99,2049.24,20152
00:00 09.03.22,2043.67,2049.53,2051.54,2042.71,17578
01:00 09.03.22,2038.58,2043.66,2046.54,2035.03,23944
02:00 09.03.22,2041.76,2038.59,2045.58,2036.1,43489
03:00 09.03.22,2052.57,2041.76,2055.15,2040.33,41689
04:00 09.03.22,2056.79,2052.56,2057.43,2050.29,32366
05:00 09.03.22,2051.58,2056.8,2059.06,2051.16,23477
06:00 09.03.22,2047.98,2051.58,2057.17,2044.76,34837
07:00 09.03.22,2048.99,2047.98,2052.34,2047.43,35753
08:00 09.03.22,2045.72,2049.01,2050.01,2038.21,40568
09:00 09.03.22,2042.09,2045.18,2049.14,2041.98,38562
10:00 09.03.22,2017.76,2042.12,2042.26,2014.72,58471
11:00 09.03.22,2014.75,2017.73,2019.1,2004.09,54941
12:00 09.03.22,2011.54,2014.63,2016.39,2007.76,37107
13:00 09.03.22,2009.25,2011.54,2021.32,2009.22,37431
14:00 09.03.22,1989.65,2009.25,2009.42,1984.98,68812
15:00 09.03.22,1986.52,1989.72,1997.57,1975.91,72827
16:00 09.03.22,1995.97,1986.52,1997.53,1985.67,56874
17:00 09.03.22,2001.27,1995.99,2005.47,1991.78,54431
18:00 09.03.22,1985.41,2001.32,2003.16,1983.52,58396
19:00 09.03.22,1983.48,1985.45,1988.78,1980.5,56844
20:00 09.03.22,1989.42,1983.44,1990.41,1979.6,38147
21:00 09.03.22,1990.96,1989.4,1995.48,1986.81,31590
22:00 09.03.22,1991.42,1991.21,1998.91,1989.69,16134
00:00 10.03.22,1989.81,1988.46,1993.53,1987.75,17933
01:00 10.03.22,1983.55,1989.81,1989.97,1981.82,19218
02:00 10.03.22,1974.61,1983.57,1983.88,1970.72,46598
03:00 10.03.22,1974.67,1974.59,1976.54,1970.81,26867
04:00 10.03.22,1976.32,1974.68,1979.01,1972.82,21254
05:00 10.03.22,1977.71,1976.32,1979.53,1975.44,17257
06:00 10.03.22,1980.76,1977.72,1984.09,1977.2,25151
07:00 10.03.22,1983.1,1980.76,1988.86,1980.39,31515
08:00 10.03.22,1975.27,1983.1,1983.17,1974.27,31019
09:00 10.03.22,1983.76,1975.28,1987.99,1974.75,34294
10:00 10.03.22,1985.77,1983.75,1987.22,1976.6,37411
11:00 10.03.22,1999.49,1985.94,1999.99,1983.61,41679
12:00 10.03.22,2005.15,1999.47,2007.87,1998.77,36065
13:00 10.03.22,2002.83,2005.16,2009,1998.95,43162
14:00 10.03.22,1996.36,2002.8,2008.81,1991.54,61076
15:00 10.03.22,1997.02,1996.36,2006.78,1995.29,65516
16:00 10.03.22,1995.03,1996.87,1999.72,1981.47,80512
17:00 10.03.22,1994.87,1995.16,1999.43,1990.26,52378
18:00 10.03.22,2003.78,1994.85,2005.74,1994.82,54682
19:00 10.03.22,1997.66,2003.69,2005.85,1993.21,56611
20:00 10.03.22,1996.05,1997.7,1998.08,1993.94,36791
21:00 10.03.22,1997.45,1996.05,2003.22,1996.05,38261
22:00 10.03.22,1996.33,1997.54,1998.73,1995,8354
00:00 11.03.22,1995.15,1992.71,1998.85,1992.36,12576
01:00 11.03.22,1992.26,1995.19,1997.05,1991.31,12408
02:00 11.03.22,1992.33,1992.26,1995.2,1988.07,25366
03:00 11.03.22,1994.59,1992.33,1996.35,1991.74,13016
04:00 11.03.22,1990.78,1994.65,1995.13,1990.43,13754
05:00 11.03.22,1987.85,1990.75,1991.62,1985.82,14073
06:00 11.03.22,1983.49,1987.84,1988.73,1980.84,26020
07:00 11.03.22,1986.07,1983.43,1987.63,1982.8,19425
08:00 11.03.22,1991.41,1985.99,1992.44,1981.37,23239
09:00 11.03.22,1992.68,1991.4,1994.77,1987.9,19583
10:00 11.03.22,1989.45,1992.6,1994.18,1988.53,16118
