DateTime,Close,Open,Low,High,Volume
02:05 23.06.22,26234.0,26164.0,26164.0,26244.0,3850.0
02:10 23.06.22,26224.0,26244.0,26204.0,26264.0,3172.0
02:15 23.06.22,26274.0,26234.0,26234.0,26304.0,3686.0
02:20 23.06.22,26274.0,26284.0,26264.0,26294.0,2943.0
02:25 23.06.22,26254.0,26294.0,26254.0,26294.0,2573.0
02:30 23.06.22,26264.0,26244.0,26214.0,26264.0,3109.0
02:35 23.06.22,26274.0,26274.0,26264.0,26284.0,1801.0
02:40 23.06.22,26264.0,26264.0,26234.0,26294.0,3114.0
02:45 23.06.22,26254.0,26254.0,26244.0,26284.0,3337.0
02:50 23.06.22,26324.0,26264.0,26254.0,26344.0,3069.0
02:55 23.06.22,26294.0,26334.0,26284.0,26344.0,2690.0
03:00 23.06.22,26274.0,26284.0,26244.0,26294.0,2718.0
03:05 23.06.22,26274.0,26264.0,26234.0,26274.0,2153.0
03:10 23.06.22,26224.0,26264.0,26224.0,26274.0,2825.0
03:15 23.06.22,26184.0,26214.0,26164.0,26224.0,3390.0
03:20 23.06.22,26224.0,26174.0,26174.0,26244.0,2431.0
03:25 23.06.22,26244.0,26214.0,26204.0,26244.0,2256.0
03:30 23.06.22,26264.0,26254.0,26254.0,26274.0,2899.0
03:35 23.06.22,26244.0,26254.0,26234.0,26264.0,2355.0
03:40 23.06.22,26194.0,26234.0,26194.0,26234.0,1959.0
03:45 23.06.22,26144.0,26184.0,26134.0,26204.0,2950.0
03:50 23.06.22,26084.0,26134.0,26084.0,26134.0,3501.0
03:55 23.06.22,26064.0,26094.0,26044.0,26094.0,3026.0
04:00 23.06.22,26084.0,26074.0,26054.0,26094.0,2704.0
04:05 23.06.22,26114.0,26094.0,26094.0,26114.0,2023.0
04:10 23.06.22,26104.0,26124.0,26084.0,26124.0,2292.0
04:15 23.06.22,26074.0,26094.0,26064.0,26094.0,2456.0
04:20 23.06.22,26054.0,26084.0,26054.0,26084.0,1377.0
04:25 23.06.22,26084.0,26064.0,26064.0,26084.0,2633.0
04:30 23.06.22,26124.0,26094.0,26094.0,26124.0,2017.0
04:35 23.06.22,26114.0,26124.0,26104.0,26124.0,1212.0
04:40 23.06.22,26104.0,26124.0,26104.0,26124.0,1309.0
04:45 23.06.22,26114.0,26114.0,26114.0,26124.0,2131.0
04:50 23.06.22,26074.0,26114.0,26074.0,26114.0,1792.0
04:55 23.06.22,26054.0,26064.0,26054.0,26064.0,1855.0
05:00 23.06.22,26024.0,26064.0,26024.0,26064.0,2133.0
05:05 23.06.22,26054.0,26044.0,26044.0,26064.0,1237.0
05:10 23.06.22,26054.0,26064.0,26054.0,26084.0,1774.0
05:15 23.06.22,26074.0,26064.0,26054.0,26074.0,1516.0
05:20 23.06.22,26074.0,26084.0,26074.0,26084.0,475.0
05:25 23.06.22,26054.0,26084.0,26054.0,26084.0,2051.0
05:30 23.06.22,26064.0,26064.0,26044.0,26074.0,1971.0
05:35 23.06.22,26104.0,26074.0,26074.0,26114.0,1997.0
05:40 23.06.22,26064.0,26094.0,26054.0,26104.0,1887.0
05:45 23.06.22,26044.0,26074.0,26044.0,26074.0,1376.0
05:50 23.06.22,26064.0,26054.0,26044.0,26064.0,1315.0
05:55 23.06.22,26024.0,26074.0,26024.0,26074.0,1405.0
06:00 23.06.22,26024.0,26014.0,26014.0,26034.0,986.0
06:05 23.06.22,25984.0,26014.0,25984.0,26014.0,2451.0
06:10 23.06.22,26034.0,25994.0,25994.0,26034.0,1388.0
06:15 23.06.22,26024.0,26044.0,26024.0,26044.0,1427.0
06:20 23.06.22,26044.0,26034.0,26024.0,26044.0,1613.0
06:25 23.06.22,26074.0,26054.0,26044.0,26074.0,1268.0
