Date,Open,High,Low,Close,Adj Close,Volume
2017-03-08,69.000000,72.989998,68.489998,72.889999,68.977821,493775
2017-03-09,72.800003,72.820000,69.199997,70.500000,66.716103,497271
2017-03-10,71.099998,72.690002,70.900002,71.500000,67.662430,349099
2017-03-13,73.000000,74.300003,72.389999,73.989998,70.018784,420816
2017-03-14,74.000000,74.589996,72.559998,73.790001,69.829521,236245
2017-03-15,73.739998,74.650002,72.599998,72.699997,68.798019,337573
2017-03-16,73.000000,75.800003,72.900002,74.400002,70.406784,1032546
2017-03-17,71.620003,74.199997,71.540001,71.540001,67.700287,2147199
2017-03-20,71.250000,73.180000,69.610001,72.970001,69.053535,941527
2017-03-21,72.500000,73.680000,70.320000,70.320000,66.545761,533323
2017-03-22,70.000000,70.290001,67.180000,68.349998,64.681496,721060
2017-03-23,68.400002,70.290001,68.209999,69.900002,66.148308,290161
2017-03-24,69.699997,69.900002,68.349998,68.720001,65.031639,219203
2017-03-27,67.500000,67.800003,64.220001,64.889999,61.407204,596396
2017-03-28,65.559998,67.589996,64.550003,64.989998,61.501835,460979
2017-03-29,66.510002,66.949997,65.150002,65.500000,61.984463,635879
2017-03-30,66.000000,66.180000,61.250000,62.250000,58.908897,589496
2017-03-31,61.470001,63.869999,60.970001,62.799999,59.429379,431015
2017-04-03,63.400002,69.739998,62.130001,68.599998,64.918076,809917
2017-04-04,68.599998,72.349998,67.699997,70.930000,67.123024,929758
2017-04-05,72.599998,74.300003,71.750000,73.889999,69.924149,1082927
2017-04-06,74.940002,75.430000,73.339996,74.949997,70.927254,1014166
2017-04-07,74.000000,75.489998,72.720001,75.000000,70.974579,694298
2017-04-10,75.010002,77.599998,75.010002,75.500000,71.447739,630539
2017-04-11,75.260002,75.260002,72.129997,72.300003,68.419495,552282
2017-04-12,72.000000,73.650002,69.419998,69.419998,65.694069,676879
2017-04-13,69.980003,71.199997,68.309998,70.059998,66.299713,528854
2017-04-18,71.099998,71.300003,68.080002,68.199997,64.539543,448713
2017-04-19,68.500000,70.389999,67.400002,70.360001,66.583618,492694
2017-04-20,69.940002,70.900002,69.199997,70.599998,66.810730,337119
2017-04-21,71.300003,71.919998,70.360001,71.250000,67.425850,385851
2017-04-24,71.379997,72.360001,71.250000,71.870003,68.012573,292134
2017-04-25,71.230003,72.199997,70.610001,72.000000,68.135590,415946
2017-04-26,72.099998,72.790001,71.599998,71.949997,68.088272,349878
2017-04-27,72.070000,73.779999,71.660004,73.599998,69.649719,538380
2017-04-28,74.050003,80.290001,74.000000,78.300003,74.097458,1576673
2017-05-02,80.000000,81.400002,78.610001,79.000000,74.759888,654261
2017-05-04,78.000000,78.300003,75.309998,75.410004,71.362572,1096338
2017-05-05,74.500000,75.199997,72.400002,75.099998,71.069206,668648
2017-05-08,75.500000,75.989998,73.800003,74.599998,70.596046,518097
2017-05-09,75.089996,78.239998,74.500000,77.750000,73.576981,569207
2017-05-10,77.209999,80.300003,77.199997,79.629997,75.356071,775463
2017-05-11,79.180000,80.190002,76.620003,76.650002,72.536018,546582
2017-05-12,77.250000,77.879997,75.120003,75.139999,71.107063,553077
2017-05-15,76.050003,78.139999,76.000000,76.489998,72.384605,307365
2017-05-16,76.800003,77.900002,76.099998,77.489998,73.330933,329819
2017-05-17,76.199997,77.160004,74.500000,74.809998,70.794769,617559
2017-05-18,74.800003,74.809998,70.699997,73.559998,69.611862,543815
