Date,Open,High,Low,Close,Adj Close,Volume
2017-03-08,936.900024,936.900024,921.099976,922.000000,775.759460,97517
2017-03-09,921.799988,927.900024,918.099976,923.599976,777.105591,166193
2017-03-10,932.099976,934.500000,921.900024,921.900024,775.675293,108219
2017-03-13,924.000000,940.000000,923.000000,929.400024,781.985657,141996
2017-03-14,930.099976,945.799988,930.099976,944.500000,794.690613,184879
2017-03-15,945.000000,953.900024,941.000000,950.000000,799.318237,130778
2017-03-16,952.099976,953.700012,944.400024,953.000000,801.842407,134957
2017-03-17,944.500000,958.900024,944.500000,957.900024,805.965210,375760
2017-03-20,957.799988,966.799988,950.500000,966.000000,812.780396,192514
2017-03-21,967.900024,976.900024,966.799988,975.799988,821.026062,141644
2017-03-22,973.000000,973.000000,956.799988,957.500000,805.628601,189669
2017-03-23,959.000000,959.000000,947.599976,948.099976,797.719604,153512
2017-03-24,944.299988,960.400024,944.299988,956.000000,804.366577,131423
2017-03-27,959.400024,959.400024,952.099976,955.599976,804.029968,101228
2017-03-28,952.099976,975.000000,952.099976,961.799988,809.246582,223471
2017-03-29,965.000000,968.000000,953.099976,953.700012,802.431396,68057
2017-03-30,953.099976,958.099976,946.799988,946.799988,796.625854,89438
2017-03-31,950.099976,952.900024,938.599976,940.000000,790.904297,169489
2017-04-03,947.099976,961.299988,942.200012,955.000000,803.525208,130817
2017-04-04,954.000000,955.700012,945.200012,952.099976,801.085144,89267
2017-04-05,958.700012,958.799988,946.000000,946.599976,796.457520,179537
2017-04-06,947.000000,949.900024,932.799988,938.000000,789.221619,98982
2017-04-07,944.400024,956.000000,938.900024,956.000000,804.366577,86187
2017-04-10,956.000000,962.799988,946.400024,960.000000,807.732117,214489
2017-04-11,960.000000,978.000000,956.500000,978.000000,822.877136,305385
2017-04-12,977.000000,984.900024,976.500000,983.000000,827.083984,220663
2017-04-13,945.599976,959.000000,942.000000,959.000000,841.117188,202858
2017-04-18,951.200012,957.400024,941.400024,945.099976,828.925842,110314
2017-04-19,941.799988,945.799988,931.200012,933.000000,818.313232,156726
2017-04-20,932.000000,940.000000,930.000000,933.000000,818.313232,138973
2017-04-21,933.000000,942.400024,930.200012,936.200012,821.119873,141339
2017-04-24,944.000000,956.900024,938.099976,945.200012,829.013611,86667
2017-04-25,946.500000,950.000000,940.099976,946.000000,829.715271,131180
2017-04-26,942.500000,954.599976,941.500000,950.000000,833.223511,154109
2017-04-27,949.599976,950.000000,939.000000,950.000000,833.223511,75421
2017-04-28,949.900024,957.000000,942.700012,955.000000,837.608948,101481
2017-05-02,957.000000,959.299988,943.000000,943.200012,827.259399,165608
2017-05-03,943.500000,948.799988,934.500000,935.000000,820.067383,68806
2017-05-04,951.400024,953.299988,932.000000,943.500000,827.522522,234117
2017-05-05,936.099976,949.700012,936.099976,949.700012,832.960449,42089
2017-05-09,945.200012,969.599976,945.200012,969.599976,850.414246,218159
2017-05-10,965.000000,978.900024,965.000000,978.900024,858.571045,134346
2017-05-11,979.000000,983.900024,962.400024,975.500000,855.588989,152171
2017-05-12,975.000000,981.000000,971.200012,980.000000,859.535889,72635
2017-05-15,980.000000,983.000000,970.599976,980.000000,859.535889,117049
2017-05-16,973.700012,980.000000,971.900024,971.900024,852.431580,93227
2017-05-17,978.900024,979.900024,972.500000,977.000000,856.904663,100998
2017-05-18,970.099976,973.099976,957.299988,965.900024,847.169128,57614
2017-05-19,951.500000,965.900024,947.000000,950.000000,833.223511,198499
2017-05-22,950.200012,955.799988,939.000000,940.700012,825.066711,203642
2017-05-23,945.000000,951.799988,931.299988,931.599976,817.085327,215749
2017-05-24,933.099976,947.900024,928.000000,944.900024,828.750488,257263
2017-05-25,945.200012,950.700012,938.200012,938.700012,823.312561,81069
2017-05-26,943.900024,950.500000,939.700012,950.000000,833.223511,94826
2017-05-29,950.000000,950.900024,941.200012,947.500000,831.030823,27437
2017-05-30,945.000000,945.000000,939.000000,942.799988,826.908569,47274
2017-05-31,944.700012,944.700012,934.599976,934.599976,819.716492,298258
2017-06-01,941.900024,943.700012,937.099976,942.500000,826.645447,97116
2017-06-02,941.900024,943.700012,937.099976,942.500000,826.645447,97116
2017-06-05,942.900024,945.000000,940.000000,943.000000,827.083984,50255
2017-06-06,942.900024,942.900024,935.099976,940.000000,824.452820,64024
2017-06-07,936.200012,943.500000,935.000000,935.000000,820.067383,46155
2017-06-08,935.000000,943.000000,935.000000,943.000000,827.083984,104824
2017-06-09,942.900024,945.200012,927.000000,930.000000,815.682007,92087
2017-06-12,935.000000,938.000000,928.000000,930.000000,815.682007,121317
2017-06-13,929.000000,934.900024,925.000000,925.000000,811.296631,66453
2017-06-14,925.099976,929.900024,924.000000,924.000000,810.419556,116397
2017-06-15,925.000000,932.400024,917.500000,925.299988,811.559692,164284
2017-06-16,928.400024,928.400024,898.000000,898.000000,787.615479,329705
2017-06-19,907.900024,915.900024,905.000000,911.400024,799.368347,123151
2017-06-20,916.799988,918.900024,908.700012,916.000000,803.402954,159752
2017-06-21,911.200012,916.500000,909.900024,909.900024,798.052734,111272
2017-06-22,909.900024,913.400024,907.400024,909.000000,797.263367,52962
2017-06-23,909.900024,913.400024,907.400024,909.000000,797.263367,52962
2017-06-26,905.000000,913.599976,902.900024,908.500000,796.824829,109478
2017-06-27,906.099976,919.400024,906.099976,913.000000,800.771667,61481
2017-06-28,910.500000,916.200012,905.599976,915.900024,803.315247,112939
2017-06-29,908.099976,920.000000,908.099976,918.000000,805.157043,124346
2017-06-30,908.099976,920.000000,908.099976,918.000000,805.157043,124346
2017-07-03,916.000000,920.799988,913.400024,917.099976,804.367676,36717
2017-07-04,916.200012,922.099976,913.000000,917.500000,804.718506,41410
2017-07-07,910.299988,924.000000,910.299988,912.099976,799.982300,181952
2017-07-10,924.900024,934.099976,913.400024,934.099976,819.278015,125615
2017-07-11,933.900024,933.900024,925.099976,925.099976,811.384277,66243
2017-07-12,931.599976,935.000000,928.500000,932.000000,817.436218,126752
2017-07-13,930.000000,933.900024,930.000000,933.000000,818.313232,84310
2017-07-14,930.000000,933.900024,930.000000,933.000000,818.313232,84310
2017-07-17,931.400024,940.000000,930.900024,940.000000,824.452820,77115
2017-07-18,937.799988,952.900024,933.599976,952.900024,835.767090,169835
2017-07-19,952.900024,956.900024,946.099976,951.900024,834.890076,115447
2017-07-20,951.900024,958.000000,950.900024,958.000000,840.240173,90110
2017-07-21,951.900024,958.000000,950.900024,958.000000,840.240173,90110
2017-07-24,955.200012,966.500000,952.400024,966.500000,847.695313,106378
2017-07-25,965.000000,969.000000,957.599976,969.000000,849.888062,96135
2017-07-26,968.900024,974.200012,945.799988,954.400024,837.082703,115395
2017-07-27,948.099976,961.500000,948.099976,960.000000,841.994324,93959
2017-07-28,958.000000,958.000000,944.000000,946.000000,829.715271,110932
2017-07-31,946.000000,958.000000,942.900024,950.299988,833.486694,225834
2017-08-01,947.900024,960.000000,947.900024,959.000000,841.117188,170407
2017-08-02,968.000000,968.000000,959.000000,962.900024,844.537842,48249
2017-08-03,966.799988,977.900024,963.000000,977.900024,857.694031,153355
2017-08-04,974.700012,985.799988,974.700012,985.000000,863.921265,130414
2017-08-07,984.000000,991.000000,977.299988,990.000000,868.306641,86635
2017-08-08,989.700012,1009.000000,984.700012,1009.000000,884.971130,192386
2017-08-09,1003.000000,1009.000000,989.400024,989.700012,868.043518,116917
