DateTime,Close,Open,Low,High,Volume
02:05 19.05.22,108.45,108.42,108.58,108.27,1837.0
02:10 19.05.22,108.46,108.42,108.54,108.27,1529.0
02:15 19.05.22,108.67,108.45,108.69,108.38,2361.0
02:20 19.05.22,108.6,108.68,108.75,108.58,965.0
02:25 19.05.22,108.59,108.6,108.62,108.43,988.0
02:30 19.05.22,108.84,108.59,108.86,108.59,866.0
02:35 19.05.22,108.86,108.84,108.92,108.7,898.0
02:40 19.05.22,108.94,108.87,109.03,108.84,905.0
02:45 19.05.22,109.05,108.95,109.07,108.91,1014.0
02:50 19.05.22,109.13,109.05,109.2,108.95,1157.0
02:55 19.05.22,109.16,109.16,109.22,109.09,1015.0
03:00 19.05.22,109.46,109.18,109.51,109.07,3138.0
03:05 19.05.22,109.72,109.48,109.86,109.27,3236.0
03:10 19.05.22,109.87,109.71,109.93,109.69,2418.0
03:15 19.05.22,110.04,109.87,110.14,109.84,2380.0
03:20 19.05.22,109.85,110.03,110.11,109.84,2386.0
03:25 19.05.22,109.87,109.87,109.99,109.85,2231.0
03:30 19.05.22,110.03,109.87,110.13,109.85,1782.0
03:35 19.05.22,110.14,110.03,110.25,109.97,2384.0
03:40 19.05.22,110.0,110.14,110.19,109.85,1749.0
03:45 19.05.22,110.03,110.01,110.1,109.88,1856.0
03:50 19.05.22,110.26,110.04,110.37,109.96,2524.0
03:55 19.05.22,110.23,110.25,110.31,110.14,1491.0
04:00 19.05.22,110.27,110.22,110.3,110.14,1351.0
04:05 19.05.22,110.3,110.27,110.32,110.1,2129.0
04:10 19.05.22,110.17,110.32,110.34,110.09,2020.0
04:15 19.05.22,110.06,110.18,110.22,110.01,957.0
04:20 19.05.22,110.01,110.06,110.11,109.98,963.0
04:25 19.05.22,109.96,109.99,110.06,109.94,676.0
04:30 19.05.22,110.06,109.96,110.18,109.96,2180.0
04:35 19.05.22,110.29,110.07,110.32,109.98,1650.0
04:40 19.05.22,110.62,110.28,110.66,110.24,2105.0
04:45 19.05.22,110.58,110.62,110.71,110.54,1813.0
04:50 19.05.22,110.47,110.56,110.62,110.47,1658.0
04:55 19.05.22,110.46,110.48,110.48,110.36,1555.0
05:00 19.05.22,110.49,110.45,110.55,110.42,1527.0
05:05 19.05.22,110.46,110.5,110.56,110.43,1223.0
05:10 19.05.22,110.39,110.45,110.47,110.35,1271.0
05:15 19.05.22,110.29,110.39,110.45,110.19,1416.0
05:20 19.05.22,110.83,110.31,110.9,110.29,1835.0
05:25 19.05.22,110.87,110.83,110.98,110.81,2123.0
05:30 19.05.22,110.68,110.86,110.89,110.62,1395.0
05:35 19.05.22,110.56,110.68,110.68,110.56,802.0
05:40 19.05.22,110.62,110.56,110.71,110.54,1139.0
05:45 19.05.22,110.67,110.63,110.67,110.56,537.0
05:50 19.05.22,110.61,110.66,110.68,110.57,1163.0
05:55 19.05.22,110.55,110.62,110.64,110.5,866.0
