DateTime,Close,Open,Low,High,Volume
04:00 26.02.22,17.746,17.742,17.832,17.621,9907.0
05:00 26.02.22,17.896,17.745,17.9,17.69,9974.0
06:00 26.02.22,17.715,17.897,18.09,17.665,9828.0
07:00 26.02.22,17.756,17.715,17.888,16.705,9942.0
08:00 26.02.22,17.857,17.757,17.859,17.47,9816.0
09:00 26.02.22,17.582,17.864,18.057,17.478,9944.0
10:00 26.02.22,17.572,17.586,17.752,17.417,10326.0
11:00 26.02.22,18.108,17.57,18.193,17.534,10387.0
12:00 26.02.22,18.242,18.106,18.605,17.869,10356.0
13:00 26.02.22,18.126,18.243,18.296,17.996,10489.0
14:00 26.02.22,18.078,18.125,18.155,17.915,10659.0
15:00 26.02.22,18.204,18.088,18.231,18.063,10216.0
16:00 26.02.22,17.987,18.206,18.227,17.963,10292.0
17:00 26.02.22,17.851,17.994,18.123,17.809,10313.0
18:00 26.02.22,17.966,17.85,18.027,17.812,10319.0
19:00 26.02.22,18.02,17.967,18.02,17.616,10263.0
20:00 26.02.22,18.303,18.019,18.418,18.015,10221.0
21:00 26.02.22,18.34,18.308,18.532,18.264,10328.0
22:00 26.02.22,18.119,18.339,18.431,18.01,10253.0
23:00 26.02.22,17.866,18.123,18.161,17.846,10642.0
00:00 27.02.22,17.871,17.859,17.913,17.662,10321.0
01:00 27.02.22,17.646,17.87,17.927,17.461,10261.0
02:00 27.02.22,17.279,17.643,17.689,17.265,10143.0
03:00 27.02.22,17.55,17.287,17.582,17.234,10384.0
04:00 27.02.22,17.504,17.549,17.622,17.45,10520.0
05:00 27.02.22,17.449,17.503,17.57,17.397,10541.0
06:00 27.02.22,17.57,17.449,17.677,17.36,10532.0
07:00 27.02.22,17.777,17.569,17.831,17.561,10456.0
08:00 27.02.22,17.688,17.778,17.841,17.667,10441.0
09:00 27.02.22,17.729,17.687,17.785,17.468,7072.0
10:00 27.02.22,17.98,17.732,18.037,17.7,7415.0
11:00 27.02.22,18.312,17.977,18.406,17.977,7578.0
12:00 27.02.22,18.348,18.306,18.428,18.143,7636.0
13:00 27.02.22,18.484,18.349,18.553,18.105,7561.0
14:00 27.02.22,17.876,18.482,18.517,17.522,7467.0
15:00 27.02.22,17.799,17.878,17.984,17.651,7451.0
16:00 27.02.22,18.407,17.805,18.424,17.761,7519.0
17:00 27.02.22,18.075,18.402,18.404,18.031,7536.0
