DateTime,Close,Open,Low,High,Volume
08:00 24.01.22,8653.0,8639.0,8639.0,8655.0,601.0
08:15 24.01.22,8658.0,8651.0,8645.0,8659.0,694.0
08:30 24.01.22,8656.0,8657.0,8649.0,8663.0,607.0
08:45 24.01.22,8658.0,8657.0,8651.0,8673.0,1177.0
09:00 24.01.22,8659.0,8656.0,8633.0,8661.0,10123.0
09:15 24.01.22,8638.0,8660.0,8635.0,8665.0,10333.0
09:30 24.01.22,8621.0,8639.0,8618.0,8646.0,9963.0
09:45 24.01.22,8592.0,8620.0,8588.0,8629.0,10924.0
10:00 24.01.22,8571.0,8589.0,8567.0,8597.0,11918.0
10:15 24.01.22,8575.0,8572.0,8553.0,8576.0,8705.0
10:30 24.01.22,8586.0,8573.0,8568.0,8591.0,9139.0
10:45 24.01.22,8588.0,8586.0,8577.0,8599.0,9296.0
11:00 24.01.22,8552.0,8590.0,8550.0,8592.0,9924.0
11:15 24.01.22,8535.0,8552.0,8533.0,8556.0,7616.0
11:30 24.01.22,8497.0,8536.0,8494.0,8540.0,9346.0
11:45 24.01.22,8522.0,8495.0,8495.0,8522.0,9529.0
12:00 24.01.22,8552.0,8521.0,8507.0,8554.0,11219.0
12:15 24.01.22,8518.0,8553.0,8516.0,8557.0,9133.0
12:30 24.01.22,8519.0,8518.0,8509.0,8530.0,8833.0
12:45 24.01.22,8523.0,8520.0,8517.0,8532.0,8171.0
13:00 24.01.22,8521.0,8522.0,8512.0,8530.0,7249.0
13:15 24.01.22,8521.0,8519.0,8511.0,8530.0,8827.0
13:30 24.01.22,8512.0,8520.0,8510.0,8529.0,6886.0
13:45 24.01.22,8520.0,8511.0,8511.0,8525.0,6163.0
14:00 24.01.22,8507.0,8522.0,8503.0,8523.0,7995.0
14:15 24.01.22,8490.0,8509.0,8483.0,8513.0,7433.0
14:30 24.01.22,8484.0,8489.0,8478.0,8490.0,8048.0
14:45 24.01.22,8480.0,8483.0,8479.0,8496.0,9888.0
15:00 24.01.22,8469.0,8479.0,8460.0,8480.0,9493.0
15:15 24.01.22,8454.0,8466.0,8453.0,8477.0,10217.0
15:30 24.01.22,8461.0,8453.0,8445.0,8483.0,27114.0
15:45 24.01.22,8433.0,8460.0,8427.0,8461.0,21894.0
16:00 24.01.22,8379.0,8429.0,8351.0,8436.0,23067.0
16:15 24.01.22,8414.0,8381.0,8371.0,8423.0,22870.0
16:30 24.01.22,8447.0,8414.0,8411.0,8448.0,21468.0
16:45 24.01.22,8422.0,8448.0,8417.0,8449.0,21933.0
17:00 24.01.22,8411.0,8419.0,8407.0,8441.0,19499.0
17:15 24.01.22,8431.0,8412.0,8405.0,8432.0,19872.0
17:30 24.01.22,8391.0,8431.0,8387.0,8440.0,14018.0
17:45 24.01.22,8389.0,8390.0,8344.0,8394.0,9066.0
18:00 24.01.22,8345.0,8388.0,8338.0,8390.0,8959.0
18:15 24.01.22,8345.0,8345.0,8320.0,8353.0,7299.0
18:30 24.01.22,8358.0,8346.0,8332.0,8363.0,8616.0
18:45 24.01.22,8387.0,8359.0,8354.0,8395.0,7151.0
19:00 24.01.22,8398.0,8385.0,8376.0,8399.0,5549.0
19:15 24.01.22,8386.0,8396.0,8382.0,8417.0,5584.0
19:30 24.01.22,8391.0,8384.0,8383.0,8408.0,4803.0
19:45 24.01.22,8433.0,8394.0,8393.0,8441.0,2830.0
08:00 25.01.22,8471.0,8492.0,8468.0,8511.0,1885.0
08:15 25.01.22,8477.0,8470.0,8452.0,8480.0,1408.0
08:30 25.01.22,8469.0,8474.0,8458.0,8480.0,1782.0
08:45 25.01.22,8480.0,8469.0,8467.0,8487.0,1736.0
09:00 25.01.22,8482.0,8483.0,8425.0,8492.0,12659.0
09:15 25.01.22,8444.0,8479.0,8430.0,8487.0,20694.0
09:30 25.01.22,8486.0,8446.0,8440.0,8494.0,15808.0
09:45 25.01.22,8458.0,8488.0,8457.0,8498.0,14545.0
10:00 25.01.22,8459.0,8460.0,8439.0,8470.0,16978.0
10:15 25.01.22,8496.0,8456.0,8453.0,8497.0,13024.0
10:30 25.01.22,8508.0,8494.0,8489.0,8509.0,11524.0
10:45 25.01.22,8505.0,8508.0,8500.0,8515.0,10351.0
11:00 25.01.22,8515.0,8504.0,8493.0,8519.0,10571.0
11:15 25.01.22,8507.0,8515.0,8504.0,8523.0,10306.0
11:30 25.01.22,8489.0,8509.0,8483.0,8514.0,11448.0
11:45 25.01.22,8464.0,8490.0,8463.0,8493.0,11983.0
