DateTime,Close,Open,Low,High,Volume
00:00 27.04.22,0.06306,0.06266,0.06158,0.06372,2784.0
00:00 28.04.22,0.06349,0.06306,0.0625,0.0641,2784.0
00:00 29.04.22,0.06324,0.06349,0.06272,0.07003,2784.0
00:00 30.04.22,0.06432,0.06324,0.06188,0.06525,2784.0
00:00 01.05.22,0.06965,0.06433,0.06163,0.06996,2784.0
00:00 02.05.22,0.06749,0.06965,0.06455,0.07365,2784.0
00:00 03.05.22,0.06992,0.06748,0.06732,0.07522,2784.0
00:00 04.05.22,0.08257,0.06993,0.06981,0.08349,2784.0
00:00 05.05.22,0.07337,0.08257,0.07158,0.08987,2784.0
00:00 06.05.22,0.08453,0.07337,0.07268,0.08663,2784.0
00:00 07.05.22,0.08159,0.08453,0.08037,0.0888,2784.0
00:00 08.05.22,0.08821,0.0816,0.07975,0.09279,2784.0
00:00 09.05.22,0.07523,0.08821,0.07204,0.08841,2784.0
00:00 10.05.22,0.07458,0.07525,0.07143,0.08254,2784.0
00:00 11.05.22,0.07363,0.07457,0.063,0.085,2784.0
00:00 12.05.22,0.06636,0.07364,0.06633,0.08124,2336.0
00:00 13.05.22,0.07609,0.06637,0.06559,0.0765,1440.0
00:00 14.05.22,0.0719,0.07614,0.07069,0.07638,1440.0
00:00 15.05.22,0.07151,0.07191,0.06774,0.07279,1440.0
00:00 16.05.22,0.07,0.07151,0.06716,0.0727,1440.0
00:00 17.05.22,0.07279,0.07001,0.06891,0.074,1440.0
00:00 18.05.22,0.0716,0.07279,0.06944,0.0729,1440.0
00:00 19.05.22,0.07344,0.07159,0.07009,0.075,1440.0
00:00 20.05.22,0.07106,0.07344,0.06997,0.07509,1440.0
00:00 21.05.22,0.07378,0.07106,0.07044,0.07581,1440.0
00:00 22.05.22,0.07758,0.07379,0.07362,0.07778,1440.0
00:00 23.05.22,0.08023,0.07758,0.07579,0.08263,1440.0
00:00 24.05.22,0.08136,0.08023,0.07593,0.08313,1440.0
00:00 25.05.22,0.08515,0.08136,0.07981,0.08836,1440.0
00:00 26.05.22,0.08174,0.08515,0.07881,0.08656,1440.0
00:00 27.05.22,0.07913,0.08173,0.07835,0.08402,1440.0
00:00 28.05.22,0.08107,0.0791,0.07894,0.08273,1440.0
00:00 29.05.22,0.08037,0.08108,0.07813,0.08233,1440.0
00:00 30.05.22,0.08409,0.08038,0.08007,0.0844,1440.0
00:00 31.05.22,0.08187,0.0841,0.07933,0.08419,1440.0
00:00 01.06.22,0.08403,0.08188,0.08173,0.09222,1440.0
00:00 02.06.22,0.0842,0.08403,0.0811,0.0857,1440.0
00:00 03.06.22,0.08193,0.08421,0.08034,0.08645,1440.0
