DateTime,Close,Open,Low,High,Volume
02:00 23.06.22,7000.9,6985.8,6983.8,7000.9,489.0
02:05 23.06.22,7007.4,7000.9,7000.9,7007.4,608.0
02:10 23.06.22,7005.8,7007.9,7002.9,7009.9,438.0
02:15 23.06.22,7009.4,7005.4,7004.4,7016.3,958.0
02:20 23.06.22,7009.9,7009.9,7007.4,7011.9,406.0
02:25 23.06.22,7004.9,7009.9,7004.9,7011.9,281.0
02:30 23.06.22,7008.4,7004.9,7000.9,7008.9,422.0
02:35 23.06.22,7009.9,7008.4,7007.4,7011.4,465.0
02:40 23.06.22,7014.9,7010.4,7009.9,7016.4,285.0
02:45 23.06.22,7018.4,7014.9,7013.4,7021.4,464.0
02:50 23.06.22,7029.9,7018.9,7018.4,7031.4,633.0
02:55 23.06.22,7027.4,7030.4,7026.9,7036.9,556.0
03:00 23.06.22,7030.9,7026.9,7023.4,7032.4,502.0
03:05 23.06.22,7032.9,7030.4,7027.4,7034.4,506.0
03:10 23.06.22,7026.4,7033.4,7026.4,7035.9,565.0
03:15 23.06.22,7019.9,7026.4,7018.9,7026.9,740.0
03:20 23.06.22,7024.4,7020.4,7019.4,7026.9,496.0
03:25 23.06.22,7021.9,7022.9,7018.9,7023.9,567.0
03:30 23.06.22,7025.9,7021.9,7021.9,7026.9,433.0
03:35 23.06.22,7020.9,7025.9,7019.9,7025.9,792.0
03:40 23.06.22,7016.4,7021.4,7016.4,7021.9,502.0
03:45 23.06.22,7013.9,7016.4,7012.4,7021.4,491.0
03:50 23.06.22,7005.4,7013.4,7004.4,7013.4,553.0
03:55 23.06.22,6998.4,7004.9,6995.4,7004.9,927.0
04:00 23.06.22,7002.9,6998.4,6998.4,7003.4,1199.0
04:05 23.06.22,7001.9,7002.4,6999.9,7003.9,462.0
04:10 23.06.22,6997.9,7002.4,6993.8,7003.4,547.0
04:15 23.06.22,6992.9,6997.9,6992.9,6997.9,477.0
04:20 23.06.22,6989.4,6992.9,6989.4,6995.4,423.0
04:25 23.06.22,6993.9,6989.4,6989.4,6994.9,361.0
04:30 23.06.22,7003.4,6995.4,6994.9,7003.9,510.0
04:35 23.06.22,7002.4,7003.9,6999.9,7003.9,236.0
