DateTime,Close,Open,Low,High,Volume
00:00 28.02.22,13853.27,13768.07,13891.31,13736.37,55213.0
01:00 28.02.22,13845.31,13853.32,13861.07,13813.75,45066.0
02:00 28.02.22,13836.03,13845.57,13953.08,13835.28,49787.0
03:00 28.02.22,13798.53,13836.02,13861.06,13762.86,36732.0
04:00 28.02.22,13767.29,13798.58,13804.99,13754.05,54980.0
05:00 28.02.22,13809.56,13767.53,13841.61,13767.27,29130.0
06:00 28.02.22,13859.57,13808.03,13880.29,13806.82,26023.0
07:00 28.02.22,13860.82,13859.07,13886.77,13844.29,23588.0
08:00 28.02.22,13986.79,13860.83,14017.03,13849.77,102228.0
09:00 28.02.22,13947.31,13989.53,14015.82,13911.29,117427.0
10:00 28.02.22,13979.27,13948.28,14047.82,13942.77,68580.0
11:00 28.02.22,14004.2,13978.81,14010.77,13945.53,57592.0
12:00 28.02.22,13989.28,14002.58,14032.54,13962.78,55498.0
13:00 28.02.22,14012.52,13989.08,14067.33,13987.77,64051.0
14:00 28.02.22,13998.52,14009.33,14030.03,13969.54,62742.0
15:00 28.02.22,14143.77,13998.52,14145.58,13987.28,237444.0
16:00 28.02.22,14214.29,14143.28,14234.32,14033.04,276932.0
17:00 28.02.22,14256.33,14215.33,14289.58,14189.28,267187.0
18:00 28.02.22,14108.77,14256.52,14270.78,14068.03,209386.0
19:00 28.02.22,14139.58,14108.81,14180.92,14078.82,179125.0
20:00 28.02.22,14078.79,14138.03,14138.04,13995.29,237331.0
21:00 28.02.22,14232.32,14078.56,14239.32,14024.08,278316.0
22:00 28.02.22,14218.72,14233.82,14233.82,14203.57,33261.0
00:00 01.03.22,14256.28,14218.53,14268.58,14208.53,18773.0
01:00 01.03.22,14207.02,14256.33,14264.33,14186.27,32466.0
02:00 01.03.22,14201.33,14208.06,14235.02,14194.77,23714.0
03:00 01.03.22,14207.79,14201.54,14214.34,14172.81,20225.0
04:00 01.03.22,14193.29,14208.03,14211.86,14184.79,17815.0
05:00 01.03.22,14220.06,14192.78,14222.21,14183.53,14490.0
06:00 01.03.22,14210.27,14220.29,14221.33,14189.02,27461.0
07:00 01.03.22,14249.07,14209.52,14256.33,14205.77,21609.0
08:00 01.03.22,14274.4,14249.27,14325.82,14244.53,54643.0
09:00 01.03.22,14198.31,14274.06,14305.82,14168.02,112874.0
10:00 01.03.22,14114.31,14197.79,14209.16,14106.53,87716.0
11:00 01.03.22,14151.57,14114.17,14154.83,14079.78,79173.0
12:00 01.03.22,14094.32,14151.57,14163.83,14069.77,66915.0
13:00 01.03.22,14118.53,14094.83,14151.77,14092.07,67982.0
14:00 01.03.22,14181.31,14118.58,14209.28,14094.81,83124.0
15:00 01.03.22,14199.89,14181.31,14253.08,14153.81,192888.0
16:00 01.03.22,14149.82,14201.35,14271.57,14132.32,287181.0
17:00 01.03.22,14035.77,14151.32,14210.32,14017.81,207992.0
18:00 01.03.22,14089.27,14033.33,14103.28,13997.81,137096.0
19:00 01.03.22,14009.81,14086.82,14117.33,13972.27,198986.0
20:00 01.03.22,13999.53,14010.03,14066.28,13963.79,183624.0
21:00 01.03.22,14002.83,14000.31,14098.02,13899.82,181450.0
22:00 01.03.22,14025.83,14004.82,14044.52,13990.24,40001.0
00:00 02.03.22,14051.07,14013.02,14051.33,14007.77,25084.0
01:00 02.03.22,14045.57,14051.08,14065.58,14030.03,35107.0
02:00 02.03.22,14016.06,14045.53,14061.07,14006.02,28703.0
03:00 02.03.22,14021.54,14014.79,14026.08,13971.81,30211.0
04:00 02.03.22,14042.78,14021.54,14048.84,14017.28,19752.0
05:00 02.03.22,14066.57,14043.58,14069.82,14029.77,16096.0
06:00 02.03.22,14066.77,14066.57,14094.58,14058.77,27768.0
07:00 02.03.22,14005.82,14065.02,14070.83,13995.82,18259.0
08:00 02.03.22,13968.03,14004.29,14014.28,13911.33,72965.0
09:00 02.03.22,13987.28,13969.07,14059.04,13941.06,137434.0
10:00 02.03.22,14090.79,13983.32,14115.81,13963.83,100455.0
11:00 02.03.22,14095.79,14090.81,14142.52,14072.7,66681.0
12:00 02.03.22,14104.58,14095.77,14140.56,14084.52,61131.0
13:00 02.03.22,14087.02,14103.32,14128.82,14065.53,52902.0
14:00 02.03.22,14032.77,14087.08,14088.04,14004.31,65779.0
15:00 02.03.22,14073.54,14031.79,14129.07,14010.78,202275.0
16:00 02.03.22,14047.53,14075.02,14123.52,13950.82,338068.0
17:00 02.03.22,14163.03,14047.31,14221.82,14013.83,209140.0
18:00 02.03.22,14191.04,14162.81,14210.57,14148.91,152309.0
19:00 02.03.22,14233.81,14192.54,14263.58,14191.27,125473.0
20:00 02.03.22,14238.04,14232.81,14280.71,14217.53,142521.0
21:00 02.03.22,14235.32,14236.31,14289.19,14231.33,202380.0
22:00 02.03.22,14195.06,14235.58,14241.06,14171.81,33659.0
00:00 03.03.22,14203.78,14200.07,14208.04,14186.57,17441.0
01:00 03.03.22,14206.58,14204.06,14213.52,14194.66,25150.0
02:00 03.03.22,14185.27,14205.83,14223.11,14181.57,21406.0
03:00 03.03.22,14222.28,14185.04,14228.01,14183.27,17220.0
04:00 03.03.22,14224.01,14222.78,14237.58,14214.08,13788.0
05:00 03.03.22,14219.27,14222.83,14232.82,14215.53,11395.0
06:00 03.03.22,14237.56,14218.04,14247.47,14210.27,16379.0
07:00 03.03.22,14245.82,14237.53,14254.08,14229.38,14787.0
08:00 03.03.22,14210.78,14245.29,14250.33,14196.52,46599.0
09:00 03.03.22,14188.06,14210.78,14243.07,14168.28,79253.0
10:00 03.03.22,14198.27,14188.02,14220.31,14159.83,71934.0
11:00 03.03.22,14188.82,14198.04,14204.58,14167.57,47608.0
12:00 03.03.22,14182.79,14188.82,14223.78,14171.27,45495.0
13:00 03.03.22,14201.29,14183.28,14225.31,14183.23,45537.0
14:00 03.03.22,14330.08,14201.29,14332.33,14201.29,61325.0
15:00 03.03.22,14261.56,14330.33,14390.28,14234.46,205798.0
16:00 03.03.22,14051.83,14267.53,14288.33,14049.82,256386.0
17:00 03.03.22,14114.29,14052.03,14136.02,14031.54,222389.0
18:00 03.03.22,14140.78,14115.31,14213.33,14046.52,230433.0
19:00 03.03.22,14127.28,14140.28,14193.53,14107.32,126965.0
20:00 03.03.22,14055.28,14126.53,14171.32,14040.58,176522.0
21:00 03.03.22,14033.52,14054.29,14054.29,13957.06,250236.0
22:00 03.03.22,14058.06,14034.52,14064.02,14028.97,26068.0
00:00 04.03.22,14079.53,14059.07,14084.06,14049.79,18034.0
01:00 04.03.22,13806.32,14079.31,14085.83,13767.76,84552.0
02:00 04.03.22,13931.83,13807.78,13948.07,13745.82,70920.0
03:00 04.03.22,13897.53,13931.16,13943.33,13879.02,36763.0
04:00 04.03.22,13887.83,13897.79,13924.81,13874.2,34370.0
05:00 04.03.22,13913.81,13888.27,13918.54,13877.07,30108.0
06:00 04.03.22,13947.82,13914.08,13951.52,13907.52,24457.0
07:00 04.03.22,13955.78,13948.03,13991.56,13938.56,23509.0
08:00 04.03.22,13965.22,13956.06,13997.16,13931.06,43073.0
09:00 04.03.22,13951.08,13965.04,14059.04,13946.52,78340.0
10:00 04.03.22,13911.56,13952.03,13952.56,13884.78,64966.0
11:00 04.03.22,13912.78,13911.31,13984.27,13900.07,52646.0
12:00 04.03.22,13923.07,13913.82,13945.82,13899.04,40952.0
13:00 04.03.22,13929.07,13923.52,13940.06,13873.27,44879.0
14:00 04.03.22,13911.31,13930.27,14007.83,13889.55,76200.0
15:00 04.03.22,13923.31,13911.56,13994.31,13834.02,226155.0
16:00 04.03.22,13780.58,13922.07,13949.57,13776.66,315010.0
17:00 04.03.22,13786.07,13781.54,13823.69,13733.77,237438.0
18:00 04.03.22,13867.03,13787.06,13888.32,13763.81,231733.0
19:00 04.03.22,13807.56,13866.79,13933.78,13802.27,220998.0
20:00 04.03.22,13747.32,13808.02,13845.83,13742.02,215950.0
21:00 04.03.22,13831.02,13748.69,13849.53,13743.81,297614.0
00:00 07.03.22,13583.53,13650.53,13680.82,13562.77,44269.0
01:00 07.03.22,13569.06,13583.32,13622.07,13547.03,42604.0
02:00 07.03.22,13550.77,13569.06,13591.82,13539.63,33973.0
03:00 07.03.22,13546.82,13550.32,13575.08,13528.53,31815.0
04:00 07.03.22,13591.56,13546.04,13610.33,13536.81,29309.0
05:00 07.03.22,13615.32,13590.08,13621.58,13589.57,17598.0
06:00 07.03.22,13600.83,13616.33,13669.33,13592.09,32937.0
07:00 07.03.22,13623.58,13595.29,13624.29,13573.32,23516.0
08:00 07.03.22,13560.57,13623.33,13637.83,13544.78,75120.0
09:00 07.03.22,13600.83,13561.58,13625.06,13547.53,132389.0
10:00 07.03.22,13604.58,13600.83,13651.07,13572.79,86413.0
11:00 07.03.22,13589.32,13605.06,13635.31,13588.78,67976.0
12:00 07.03.22,13653.81,13589.28,13655.58,13567.04,73281.0
