DatoCzas,Close,Open,Low,High,Volume
Mar 17 2022 12:00:00 AM,4352.9,4353.3,4356.3,4351.5,3209.0
Mar 17 2022 12:05:00 AM,4350.3,4352.9,4353.0,4350.2,1948.0
Mar 17 2022 12:10:00 AM,4349.9,4350.3,4350.8,4348.6,3048.0
Mar 17 2022 12:15:00 AM,4350.8,4349.8,4351.4,4348.7,1984.0
Mar 17 2022 12:20:00 AM,4350.4,4350.8,4351.3,4350.1,743.0
Mar 17 2022 12:25:00 AM,4352.4,4350.3,4353.0,4350.3,1580.0
Mar 17 2022 12:30:00 AM,4352.7,4352.3,4353.3,4351.9,1692.0
Mar 17 2022 12:35:00 AM,4350.9,4352.8,4353.4,4350.3,1276.0
Mar 17 2022 12:40:00 AM,4352.5,4350.9,4352.8,4350.6,1375.0
Mar 17 2022 12:45:00 AM,4353.9,4352.1,4354.3,4351.7,2451.0
Mar 17 2022 12:50:00 AM,4356.3,4354.0,4357.5,4353.3,4531.0
Mar 17 2022 12:55:00 AM,4356.6,4356.3,4357.8,4355.5,3277.0
Mar 17 2022 1:00:00 AM,4354.5,4356.5,4357.3,4352.5,6531.0
Mar 17 2022 1:05:00 AM,4356.3,4354.6,4356.8,4351.8,4774.0
Mar 17 2022 1:10:00 AM,4355.3,4356.5,4358.3,4354.3,5203.0
Mar 17 2022 1:15:00 AM,4356.0,4355.2,4357.0,4353.5,4884.0
Mar 17 2022 1:20:00 AM,4355.8,4356.4,4357.5,4354.7,3824.0
Mar 17 2022 1:25:00 AM,4355.3,4356.2,4358.8,4355.0,4134.0
Mar 17 2022 1:30:00 AM,4355.1,4355.7,4357.6,4355.0,3633.0
Mar 17 2022 1:35:00 AM,4356.2,4355.3,4357.2,4354.7,2702.0
Mar 17 2022 1:40:00 AM,4355.8,4356.3,4357.4,4355.1,2344.0
Mar 17 2022 1:45:00 AM,4356.8,4355.7,4357.2,4355.5,1842.0
Mar 17 2022 1:50:00 AM,4357.6,4356.7,4359.5,4356.3,3624.0
Mar 17 2022 1:55:00 AM,4357.1,4357.7,4357.9,4356.5,2394.0
Mar 17 2022 2:00:00 AM,4356.4,4357.5,4358.2,4355.5,4206.0
Mar 17 2022 2:05:00 AM,4354.5,4356.3,4356.9,4352.7,3547.0
Mar 17 2022 2:10:00 AM,4352.0,4354.8,4354.8,4351.7,2996.0
Mar 17 2022 2:15:00 AM,4352.2,4351.8,4353.8,4350.2,8348.0
Mar 17 2022 2:20:00 AM,4350.5,4352.5,4354.2,4350.2,5842.0
Mar 17 2022 2:25:00 AM,4345.3,4350.1,4350.7,4344.8,8048.0
Mar 17 2022 2:30:00 AM,4347.8,4345.0,4349.7,4344.7,9773.0
Mar 17 2022 2:35:00 AM,4340.2,4347.8,4348.3,4339.9,9620.0
Mar 17 2022 2:40:00 AM,4342.6,4340.3,4344.3,4339.1,8422.0
Mar 17 2022 2:45:00 AM,4340.7,4342.6,4343.7,4340.5,6792.0
Mar 17 2022 2:50:00 AM,4336.1,4340.8,4340.9,4334.5,7963.0
Mar 17 2022 2:55:00 AM,4340.1,4336.2,4342.2,4335.6,8384.0
Mar 17 2022 3:00:00 AM,4342.3,4340.7,4342.9,4338.7,8314.0
Mar 17 2022 3:05:00 AM,4342.3,4342.3,4342.9,4340.7,5948.0
Mar 17 2022 3:10:00 AM,4344.8,4342.1,4347.2,4341.3,7520.0
Mar 17 2022 3:15:00 AM,4344.0,4344.7,4345.4,4342.3,5655.0
Mar 17 2022 3:20:00 AM,4346.4,4344.0,4346.7,4343.7,4600.0
Mar 17 2022 3:25:00 AM,4345.1,4346.4,4348.3,4343.7,4598.0
Mar 17 2022 3:30:00 AM,4343.5,4345.2,4345.5,4343.0,4038.0
Mar 17 2022 3:35:00 AM,4343.2,4343.3,4344.3,4342.1,4089.0
Mar 17 2022 3:40:00 AM,4341.7,4343.0,4343.7,4340.5,4454.0
Mar 17 2022 3:45:00 AM,4342.2,4341.8,4342.5,4340.5,4449.0
Mar 17 2022 3:50:00 AM,4345.0,4342.1,4346.5,4342.1,5213.0
Mar 17 2022 3:55:00 AM,4343.1,4344.8,4345.3,4341.5,4431.0
Mar 17 2022 4:00:00 AM,4341.0,4343.2,4343.2,4340.5,4869.0
Mar 17 2022 4:05:00 AM,4340.1,4341.1,4341.8,4339.7,3788.0
Mar 17 2022 4:10:00 AM,4340.3,4340.0,4340.5,4338.3,3645.0
Mar 17 2022 4:15:00 AM,4336.7,4340.2,4340.9,4336.3,3657.0
Mar 17 2022 4:20:00 AM,4339.5,4336.9,4339.7,4336.1,4401.0
Mar 17 2022 4:25:00 AM,4342.1,4339.5,4342.5,4338.5,3586.0
Mar 17 2022 4:30:00 AM,4342.2,4342.0,4342.7,4340.5,2221.0
Mar 17 2022 4:35:00 AM,4344.5,4342.1,4345.0,4341.6,2602.0
Mar 17 2022 4:40:00 AM,4341.5,4344.7,4344.7,4341.0,3153.0
Mar 17 2022 4:45:00 AM,4339.8,4341.5,4341.8,4339.1,4171.0
Mar 17 2022 4:50:00 AM,4339.9,4339.5,4340.4,4338.6,2835.0
Mar 17 2022 4:55:00 AM,4341.2,4339.8,4341.8,4338.7,2328.0
Mar 17 2022 5:00:00 AM,4338.8,4341.7,4341.7,4337.0,2001.0
Mar 17 2022 5:05:00 AM,4340.5,4338.9,4340.5,4338.5,1629.0
Mar 17 2022 5:10:00 AM,4340.7,4340.6,4341.4,4340.2,1392.0
Mar 17 2022 5:15:00 AM,4341.7,4340.8,4341.9,4340.6,1541.0
Mar 17 2022 5:20:00 AM,4340.5,4341.7,4342.9,4339.3,2346.0
Mar 17 2022 5:25:00 AM,4340.4,4340.3,4340.4,4338.7,1852.0
Mar 17 2022 5:30:00 AM,4345.2,4340.3,4347.5,4339.7,5407.0
Mar 17 2022 5:35:00 AM,4343.4,4345.5,4345.9,4343.1,2817.0
Mar 17 2022 5:40:00 AM,4345.5,4343.5,4346.3,4343.3,2128.0
