DateTime,Close,Open,High,Low,Volume
08:45 19.05.22,1770.6,1770.1,1771.7,1765.6,1400
08:50 19.05.22,1769.6,1769.7,1770.6,1768.6,590
08:55 19.05.22,1768.7,1768.7,1769.6,1766.6,673
09:00 19.05.22,1770.7,1769.6,1771.6,1764.6,1655
09:05 19.05.22,1775.7,1771.7,1777.6,1770.6,1739
09:10 19.05.22,1772.7,1775.6,1776.6,1769.6,1160
09:15 19.05.22,1777.6,1772.7,1778.6,1772.7,1036
09:20 19.05.22,1772.6,1777.6,1778.6,1770.6,1244
09:25 19.05.22,1774.7,1772.6,1776.7,1772.6,928
09:30 19.05.22,1775.6,1774.7,1777.7,1774.6,730
09:35 19.05.22,1769.7,1775.6,1775.6,1769.7,986
09:40 19.05.22,1770.7,1769.7,1773.7,1769.6,833
09:45 19.05.22,1775.6,1771.6,1776.6,1771.6,1142
09:50 19.05.22,1775.6,1775.6,1776.6,1773.6,785
09:55 19.05.22,1781.6,1775.7,1783.6,1775.6,828
10:00 19.05.22,1777.6,1781.6,1782.6,1777.6,656
10:05 19.05.22,1780.7,1777.7,1781.6,1776.6,680
10:10 19.05.22,1781.7,1780.7,1782.6,1779.6,567
10:15 19.05.22,1781.6,1782.6,1783.6,1780.6,625
10:20 19.05.22,1778.7,1781.7,1782.6,1777.8,497
10:25 19.05.22,1777.6,1778.6,1780.6,1777.6,462
10:30 19.05.22,1776.7,1777.7,1778.7,1775.7,513
10:35 19.05.22,1776.7,1776.7,1777.6,1775.7,450
10:40 19.05.22,1774.7,1776.7,1776.7,1774.6,309
10:45 19.05.22,1777.7,1775.6,1777.7,1775.6,469
10:50 19.05.22,1780.6,1778.6,1780.6,1778.6,404
10:55 19.05.22,1774.7,1780.7,1781.6,1774.7,534
11:00 19.05.22,1772.6,1774.7,1774.7,1771.6,715
11:05 19.05.22,1773.6,1772.6,1773.7,1772.6,418
11:10 19.05.22,1768.7,1773.6,1773.6,1768.7,361
11:15 19.05.22,1769.6,1768.7,1770.6,1766.7,729
11:20 19.05.22,1765.6,1769.6,1769.6,1765.6,490
11:25 19.05.22,1767.6,1765.6,1768.6,1764.7,665
11:30 19.05.22,1765.6,1766.6,1767.6,1763.6,717
11:35 19.05.22,1753.7,1764.6,1765.6,1753.7,1065
11:40 19.05.22,1757.7,1754.6,1758.6,1753.6,1120
11:45 19.05.22,1759.7,1757.7,1759.7,1756.6,626
11:50 19.05.22,1761.6,1759.7,1761.7,1759.7,389
11:55 19.05.22,1760.7,1761.6,1761.6,1759.7,390
12:00 19.05.22,1760.6,1760.7,1761.6,1759.6,419
12:05 19.05.22,1763.7,1759.7,1765.6,1759.7,470
12:10 19.05.22,1765.7,1764.6,1766.6,1763.6,598
12:15 19.05.22,1764.6,1765.7,1766.6,1764.6,320
12:20 19.05.22,1768.6,1764.6,1768.6,1764.6,335
12:25 19.05.22,1769.6,1768.6,1769.6,1766.6,372
12:30 19.05.22,1766.7,1769.6,1769.6,1766.7,323
12:35 19.05.22,1768.6,1767.6,1768.6,1766.6,406
12:40 19.05.22,1771.7,1769.6,1773.6,1769.6,604
12:45 19.05.22,1774.6,1771.7,1775.6,1771.7,615
12:50 19.05.22,1776.7,1774.6,1776.7,1774.6,498
12:55 19.05.22,1775.7,1777.7,1778.7,1775.6,740
13:00 19.05.22,1772.7,1776.6,1777.6,1772.6,492
13:05 19.05.22,1774.6,1772.7,1775.6,1772.6,470
13:10 19.05.22,1776.6,1774.6,1776.6,1772.6,375
13:15 19.05.22,1775.6,1776.6,1776.6,1774.6,485
13:20 19.05.22,1778.6,1775.6,1779.6,1775.6,555
