===============================================================================
Id,ETH-USD,len,datetime,open,high,low,close,volume,openinterest,adjclose,ETH_GTrends,len,datetime,open,high,low,close,volume,openinterest,Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,ETH-USD,ETH_GTrends
1,ETH-USD,1,2018-01-01 23:59:59.999989,755.76,782.53,742.0,772.64,2595760128.0,0.0,772.640991,ETH_GTrends,0,,,,,,,,Sentiment,1,736695.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,ETH-USD,2,2018-01-02 23:59:59.999989,772.35,914.83,772.35,884.44,5783349760.0,0.0,884.44397,ETH_GTrends,0,,,,,,,,Sentiment,2,736696.9999999999,Broker,2,10000.0,10000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,ETH-USD,3,2018-01-03 23:59:59.999989,886.0,974.47,868.45,962.72,5093159936.0,0.0,962.719971,ETH_GTrends,0,,,,,,,,Sentiment,3,736697.9999999999,Broker,3,10000.0,10000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,ETH-USD,4,2018-01-04 23:59:59.999989,961.71,1045.08,946.09,980.92,6502859776.0,0.0,980.921997,ETH_GTrends,0,,,,,,,,Sentiment,4,736698.9999999999,Broker,4,10000.0,10000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,ETH-USD,5,2018-01-05 23:59:59.999989,975.75,1075.39,956.33,997.72,6683149824.0,0.0,997.719971,ETH_GTrends,0,,,,,,,,Sentiment,5,736699.9999999999,Broker,5,10000.0,10000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,ETH-USD,6,2018-01-06 23:59:59.999989,995.15,1060.71,994.62,1041.68,4662219776.0,0.0,1041.680054,ETH_GTrends,0,,,,,,,,Sentiment,6,736700.9999999999,Broker,6,10000.0,10000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,ETH-USD,7,2018-01-07 23:59:59.999989,1043.01,1153.17,1043.01,1153.17,5569880064.0,0.0,1153.170044,ETH_GTrends,1,2018-01-07 23:59:59.999989,0.0,0.0,0.0,28.0,0.0,0.0,Sentiment,7,736701.9999999999,Broker,7,10000.0,10000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,ETH-USD,8,2018-01-08 23:59:59.999989,1158.26,1266.93,1016.05,1148.53,8450970112.0,0.0,1148.530029,ETH_GTrends,1,2018-01-07 23:59:59.999989,0.0,0.0,0.0,28.0,0.0,0.0,Sentiment,8,736702.9999999999,Broker,8,10000.0,10000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,ETH-USD,9,2018-01-09 23:59:59.999989,1146.0,1320.98,1145.49,1299.74,7965459968.0,0.0,1299.73999,ETH_GTrends,1,2018-01-07 23:59:59.999989,0.0,0.0,0.0,28.0,0.0,0.0,Sentiment,9,736703.9999999999,Broker,9,10000.0,10000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,ETH-USD,10,2018-01-10 23:59:59.999989,1300.34,1417.38,1226.6,1255.82,9214950400.0,0.0,1255.819946,ETH_GTrends,1,2018-01-07 23:59:59.999989,0.0,0.0,0.0,28.0,0.0,0.0,Sentiment,10,736704.9999999999,Broker,10,10000.0,10000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,ETH-USD,11,2018-01-11 23:59:59.999989,1268.09,1337.3,1135.17,1154.93,7235899904.0,0.0,1154.930054,ETH_GTrends,1,2018-01-07 23:59:59.999989,0.0,0.0,0.0,28.0,0.0,0.0,Sentiment,11,736705.9999999999,Broker,11,10000.0,10000.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,ETH-USD,12,2018-01-12 23:59:59.999989,1158.29,1296.04,1120.09,1273.2,5222300160.0,0.0,1273.199951,ETH_GTrends,1,2018-01-07 23:59:59.999989,0.0,0.0,0.0,28.0,0.0,0.0,Sentiment,12,736706.9999999999,Broker,12,10000.0,10000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,ETH-USD,13,2018-01-13 23:59:59.999989,1270.47,1432.88,1270.47,1396.42,5746760192.0,0.0,1396.420044,ETH_GTrends,1,2018-01-07 23:59:59.999989,0.0,0.0,0.0,28.0,0.0,0.0,Sentiment,13,736707.9999999999,Broker,13,10000.0,10000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,ETH-USD,14,2018-01-14 23:59:59.999989,1397.48,1400.56,1286.21,1366.77,4841630208.0,0.0,1366.77002,ETH_GTrends,2,2018-01-14 23:59:59.999989,0.0,0.0,0.0,26.0,0.0,0.0,Sentiment,14,736708.9999999999,Broker,14,10000.0,10000.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,ETH-USD,15,2018-01-15 23:59:59.999989,1365.21,1390.59,1290.6,1291.92,4781100032.0,0.0,1291.920044,ETH_GTrends,2,2018-01-14 23:59:59.999989,0.0,0.0,0.0,26.0,0.0,0.0,Sentiment,15,736709.9999999999,Broker,15,10000.0,10000.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,ETH-USD,16,2018-01-16 23:59:59.999989,1292.63,1292.63,875.54,1053.69,8405139968.0,0.0,1053.689941,ETH_GTrends,2,2018-01-14 23:59:59.999989,0.0,0.0,0.0,26.0,0.0,0.0,Sentiment,16,736710.9999999999,Broker,16,10000.0,10000.0,BuySell,16,,,BuySell,16,,,DataTrades,16,,
17,ETH-USD,17,2018-01-17 23:59:59.999989,1061.34,1090.23,780.92,1014.25,8545160192.0,0.0,1014.25,ETH_GTrends,2,2018-01-14 23:59:59.999989,0.0,0.0,0.0,26.0,0.0,0.0,Sentiment,17,736711.9999999999,Broker,17,10000.0,10000.0,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,ETH-USD,18,2018-01-18 23:59:59.999989,1016.44,1100.31,967.76,1036.28,5938319872.0,0.0,1036.280029,ETH_GTrends,2,2018-01-14 23:59:59.999989,0.0,0.0,0.0,26.0,0.0,0.0,Sentiment,18,736712.9999999999,Broker,18,10000.0,10000.0,BuySell,18,,,BuySell,18,,,DataTrades,18,,
